,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,INC,VCK,,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,440,351,26,0,5,4,50
1,223,215,15,0,114,2,28
2,202,120,9,0,201,1,14
3,262,196,45,0,326,6,32
4,226,281,23,0,274,7,27
5,216,124,14,0,114,7,16
6,262,211,45,0,105,0,66
7,172,354,34,0,15,7,15
8,221,153,7,0,9,6,13
9,323,399,99,0,47,6,32
10,291,264,53,0,27,2,24
11,162,91,11,0,302,2,19
12,307,167,34,0,186,4,16
13,128,121,8,0,198,2,19
14,144,259,14,0,73,2,15
15,146,86,0,0,3,4,6
16,154,199,5,0,128,2,13
17,228,135,23,0,13,3,8
18,385,564,37,0,15,8,22
19,231,194,17,0,168,0,37
20,228,210,10,0,206,4,23
21,199,176,25,0,194,3,17
22,315,167,74,0,105,4,20
23,371,346,13,0,258,3,19
24,81,208,28,0,248,0,12
25,187,256,47,0,175,4,19
26,265,266,27,0,138,4,29
27,177,215,20,0,119,1,12
28,362,398,35,0,219,2,19
29,76,56,11,0,37,3,15
30,148,343,24,0,12,3,36
31,179,278,37,0,52,10,32
32,153,232,42,0,39,6,22
33,332,255,66,0,55,4,32
34,396,303,98,0,55,5,45
35,161,189,29,0,20,9,14
36,223,240,36,0,41,8,40
37,131,295,19,0,89,4,19
38,260,325,67,0,21,2,17
39,208,236,28,0,527,4,34
40,127,81,11,0,19,3,9
41,219,261,23,0,276,3,17
42,323,330,73,0,126,3,48
43,135,294,29,0,167,4,22
44,209,229,27,0,279,8,17
45,269,278,34,0,258,10,34
46,246,396,26,0,136,2,25
47,237,317,38,0,142,6,45
48,300,318,103,0,292,13,37
49,264,279,78,0,110,4,20
50,234,276,60,0,138,6,32
51,436,339,134,0,28,1,22
52,206,173,25,0,30,0,13
53,243,208,23,0,137,5,19
54,198,167,32,0,60,3,10
55,314,283,40,0,33,4,26
56,492,283,81,0,9,5,30
57,177,205,32,0,36,16,42
58,302,334,88,0,27,8,30
59,228,237,26,0,115,6,24
60,218,233,41,0,71,4,23
61,228,362,69,0,74,13,91
62,159,198,15,0,40,12,30
63,157,180,30,0,17,8,41
64,197,221,37,0,79,6,29
65,243,191,16,0,67,6,29
66,166,188,8,0,60,9,36
67,147,245,16,0,21,9,21
68,153,197,46,0,37,5,56
69,238,166,29,0,208,6,30
70,246,190,35,0,52,12,29
71,266,217,31,0,58,25,31
72,251,194,56,0,12,8,34
73,186,120,114,0,15,4,8
74,150,207,40,0,24,13,32
75,159,199,54,0,42,11,39
76,306,337,80,0,27,21,46
77,352,258,51,0,0,5,64
78,413,378,98,0,2,18,49
79,520,253,63,0,29,5,26
80,440,218,62,0,12,5,32
81,386,283,31,0,18,1,44
82,226,159,53,0,0,1,39
83,596,428,58,0,50,5,26
84,244,215,58,0,2,9,14
85,298,187,76,0,7,5,17
86,340,365,42,0,6,11,31
87,338,358,57,0,8,4,17
88,366,418,34,0,56,4,24
89,234,223,21,0,12,3,16
90,202,308,26,0,31,2,16
91,201,313,69,0,27,2,30
92,336,195,65,0,31,10,28
93,276,201,24,0,239,4,26
94,499,298,48,0,108,2,24
95,393,277,34,0,81,1,44
96,291,190,46,0,153,4,27
97,375,123,182,0,21,11,31
98,326,269,33,0,11,7,22
99,358,260,37,0,30,11,33
100,227,401,58,0,57,5,23
101,265,302,50,0,15,5,26
102,267,246,46,0,7,11,37
103,277,241,33,0,16,14,19
104,475,324,61,0,13,20,37
105,458,290,38,0,5,2,22
106,346,293,40,0,24,12,23
107,492,289,76,0,18,18,25
108,264,222,32,0,11,9,20
109,416,186,44,0,21,13,18
110,342,285,47,0,7,5,23
111,213,144,34,0,10,3,6
112,470,257,63,0,16,9,29
113,355,181,15,0,22,7,11
114,285,264,8,0,39,4,20
115,578,418,48,0,5,6,28
116,221,173,39,0,5,4,11
117,358,338,52,0,2,5,22
118,456,319,60,0,46,33,47
119,185,130,18,0,60,5,17
120,231,149,17,0,155,5,62
121,471,333,81,0,81,29,36
122,300,189,68,0,1,9,5
123,314,241,128,0,4,4,8
124,397,196,14,0,10,18,23
125,346,234,23,0,2,12,24
126,316,269,33,0,2,14,13
127,354,274,37,0,19,15,17
128,265,174,17,0,62,2,16
129,385,237,10,0,58,10,18
130,529,355,43,0,39,37,37
131,364,291,35,0,19,13,20
132,307,464,37,0,18,9,30
133,105,134,27,0,25,17,30
134,383,288,36,0,186,26,51
135,367,297,41,0,36,23,64
136,192,225,29,0,33,14,42
137,224,284,102,0,22,9,24
138,299,196,33,0,44,17,36
139,266,302,62,0,66,32,60
140,301,233,38,0,61,21,53
141,448,356,63,0,62,16,67
142,378,269,40,0,262,24,47
143,283,181,22,0,150,11,21
144,141,108,28,0,119,2,8
145,272,169,30,0,69,12,28
146,204,176,27,0,51,15,39
147,232,186,33,0,101,11,19
148,280,235,61,0,23,19,28
149,440,387,96,0,41,29,43
150,167,190,49,0,23,14,35
151,229,210,39,0,40,16,32
152,498,319,55,0,7,11,17
153,344,379,62,0,9,14,34
154,266,291,52,0,0,11,14
155,162,184,24,0,5,7,12
156,340,211,33,0,11,8,21
157,267,402,8,0,5,6,24
158,256,547,12,0,40,8,26
159,450,439,39,0,1,3,24
160,281,211,23,0,43,8,24
161,229,388,17,0,5,3,22
162,265,262,14,0,191,2,18
163,415,291,54,0,142,15,44
164,155,118,13,0,59,7,15
165,276,152,57,0,24,14,32
166,361,236,49,0,59,17,42
167,293,211,69,0,53,31,40
168,268,162,39,0,62,4,19
169,458,175,40,0,160,17,19
170,615,312,71,0,19,19,35
171,280,227,71,0,6,10,21
172,346,367,66,0,46,32,89
173,286,310,51,0,38,32,77
174,454,275,37,0,46,21,48
175,298,212,36,0,14,29,28
176,465,339,83,0,38,37,75
177,362,222,15,0,21,16,21
178,366,208,15,0,18,10,52
179,259,212,30,0,16,10,29
180,416,232,54,0,15,6,23
181,544,227,41,0,6,22,20
182,495,289,59,0,41,29,58
183,208,445,56,0,11,32,27
184,328,300,49,0,90,40,57
185,200,144,10,0,6,6,38
186,184,201,16,0,16,7,22
187,336,247,30,0,34,14,33
188,313,236,31,0,15,14,34
189,267,273,34,0,33,20,40
190,354,207,38,0,35,19,40
191,270,334,44,0,13,18,27
192,363,228,21,0,20,13,32
193,308,225,33,0,8,14,37
194,241,188,38,0,10,11,26
195,440,241,29,0,14,10,23
196,329,285,38,0,21,7,33
197,375,277,57,0,3,8,11
198,535,333,64,0,10,16,36
199,283,169,18,0,9,5,25
200,460,210,40,0,26,20,27
201,366,284,20,0,14,14,27
