,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,INC,CPI,IJK,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,285,366,37,2,1,4,18
1,447,225,12,0,7,8,14
2,235,325,69,4,9,3,24
3,424,240,24,0,3,3,11
4,428,157,19,0,1,5,11
5,144,370,17,1,3,1,30
6,288,239,30,0,2,1,12
7,328,414,46,3,1,19,15
8,284,319,46,2,7,2,12
9,139,247,27,1,3,4,16
10,170,248,39,2,2,10,10
11,297,388,33,2,11,11,20
12,464,433,39,1,13,9,30
13,347,286,39,6,10,3,28
14,312,322,60,5,3,9,22
15,412,345,44,6,7,6,70
16,313,418,61,0,1,10,23
17,261,409,27,0,8,10,23
18,114,224,5,0,6,3,13
19,164,351,13,1,3,4,27
20,192,236,16,0,2,4,12
21,216,267,22,0,1,4,26
22,173,273,22,0,5,4,21
23,271,464,67,10,1,4,18
24,146,308,28,14,0,2,5
25,246,445,38,11,4,10,23
26,280,248,24,1,2,3,13
27,246,293,24,1,5,6,26
28,403,389,32,3,2,5,46
29,184,318,21,2,2,2,13
30,214,349,16,1,4,3,26
31,409,349,27,0,4,5,29
32,269,507,35,1,7,4,22
33,267,318,31,11,3,8,13
34,264,329,21,5,3,7,25
35,113,180,12,4,4,3,10
36,353,389,29,16,2,8,15
37,197,302,23,1,3,4,11
38,217,294,30,2,3,8,17
39,135,286,58,6,3,3,10
40,260,264,30,3,1,2,15
41,273,318,30,3,1,4,33
42,162,127,24,1,2,3,15
43,309,360,22,1,0,4,25
44,364,411,24,3,6,6,37
45,199,266,11,1,2,3,27
46,306,285,30,0,4,6,25
47,237,117,25,4,12,2,18
48,143,86,19,0,1,1,21
49,294,410,25,5,5,6,22
50,333,303,35,1,1,3,28
51,407,400,77,8,5,3,32
52,227,260,32,1,1,4,36
53,358,358,51,2,1,4,39
54,258,399,27,4,0,1,23
55,239,279,15,0,1,5,24
56,289,442,43,1,5,13,20
57,172,240,22,1,11,4,13
58,279,218,25,0,3,3,14
59,246,369,15,1,4,3,34
60,443,345,49,3,2,5,58
61,349,202,24,0,1,0,22
62,339,391,24,1,0,3,30
63,203,232,32,0,1,2,42
64,331,470,34,1,4,5,26
65,364,257,34,2,1,9,22
66,205,143,5,0,1,0,6
67,528,265,17,1,4,10,47
68,381,213,11,7,6,1,31
69,337,302,50,3,0,2,34
70,82,101,6,1,1,2,9
71,257,150,12,1,1,3,20
72,241,273,23,0,0,1,23
73,345,415,24,0,3,9,33
74,172,197,17,0,0,1,7
75,378,384,37,0,0,2,23
76,371,320,21,0,0,0,27
77,183,164,3,0,1,0,14
78,343,335,26,3,0,3,29
79,316,264,12,0,1,1,18
80,344,295,22,0,1,4,45
81,365,428,42,0,2,4,74
82,273,261,22,2,1,2,48
83,152,287,19,2,1,0,25
84,322,133,18,0,0,2,33
85,234,364,14,0,5,3,35
86,240,274,35,1,0,4,6
87,137,349,17,26,0,0,20
88,93,298,19,0,2,4,15
89,283,188,12,2,0,0,12
90,229,171,18,4,1,2,6
91,272,300,42,2,0,0,16
92,369,350,24,1,1,5,19
93,268,297,20,1,1,4,70
94,254,359,46,1,3,0,23
95,326,149,41,1,3,1,15
96,336,154,31,1,1,1,23
97,193,85,14,0,2,3,8
98,297,134,33,3,0,0,31
99,118,156,30,0,2,0,11
100,406,224,53,1,2,1,95
101,201,143,52,0,0,3,16
102,279,239,25,2,0,1,18
103,244,420,58,24,2,6,28
104,65,228,36,36,0,3,11
105,228,214,41,16,1,1,9
106,299,329,55,1,0,3,11
107,185,369,42,4,0,3,23
108,95,231,36,5,1,0,18
109,195,335,34,4,1,0,24
110,154,225,57,7,1,2,19
111,259,227,30,246,4,6,21
112,376,310,41,10,10,4,60
113,96,248,18,13,0,0,10
114,389,268,42,21,0,0,25
115,268,251,129,1,2,5,45
116,317,173,51,2,1,1,28
117,294,251,83,2,0,5,81
118,80,149,14,0,0,2,28
119,216,232,19,1,2,3,14
120,290,304,51,0,2,13,47
121,238,249,33,3,2,0,31
122,233,280,77,9,1,8,76
123,305,200,13,4,1,0,49
124,460,206,46,2,4,2,74
125,381,196,82,2,8,5,42
126,94,255,29,2,4,4,33
127,114,76,11,1,1,0,12
128,221,346,19,0,3,3,40
129,251,270,63,3,3,5,118
130,105,210,20,1,0,3,27
131,218,468,28,2,6,6,48
132,180,196,17,2,1,3,37
133,164,210,32,0,3,6,52
134,319,150,20,2,0,2,42
135,298,250,59,0,0,4,67
