,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,VCK,IJK,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,354,348,6,3,130,4,27
1,274,229,11,1,105,1,11
2,214,267,2,2,43,1,15
3,160,313,29,0,0,2,12
4,243,272,58,1,54,0,20
5,276,322,43,2,100,1,26
6,239,244,9,0,132,1,14
7,405,235,25,6,57,0,21
8,245,169,29,12,31,3,4
9,234,251,31,5,29,0,17
10,203,124,10,2,78,0,9
11,248,192,6,1,104,2,5
12,238,288,16,6,15,3,22
13,346,295,13,9,96,2,8
14,207,184,48,0,34,1,9
15,134,136,9,0,166,0,6
16,133,176,31,2,146,2,10
17,240,181,57,0,101,1,16
18,99,187,11,1,87,3,9
19,181,161,9,0,172,2,5
20,273,275,67,2,105,0,18
21,239,245,28,0,142,1,17
22,238,436,38,3,78,6,12
23,346,272,14,2,79,1,25
24,184,176,35,0,67,0,20
25,218,291,56,0,144,2,17
26,254,273,16,2,3,5,7
27,248,175,32,0,171,1,14
28,242,260,22,2,73,25,11
29,301,200,9,1,134,3,11
30,216,225,5,0,261,2,15
31,194,251,2,0,193,0,9
32,241,420,25,0,265,4,21
33,129,163,12,0,26,0,9
34,418,355,32,0,48,2,16
35,225,417,32,2,105,4,19
36,251,221,26,2,12,1,9
37,212,307,10,1,32,2,22
38,167,196,23,0,64,2,9
39,281,236,16,0,0,6,11
40,472,330,22,3,36,0,17
41,172,309,7,0,181,3,8
42,227,238,15,2,67,9,18
43,184,235,38,0,112,2,19
44,264,252,40,0,2,8,18
45,414,378,47,0,114,0,16
46,280,318,23,1,151,2,8
47,172,233,6,0,3,2,16
48,202,274,21,1,12,5,19
49,167,216,24,0,36,0,8
50,207,244,53,1,55,5,13
51,172,195,35,0,125,2,10
52,222,248,55,0,72,1,23
53,121,140,1,1,79,2,5
54,200,115,10,0,139,0,9
55,217,295,15,4,153,2,37
56,200,258,12,3,44,2,15
57,356,269,82,1,7,1,21
58,286,369,29,5,181,4,37
59,215,323,21,1,24,1,10
60,252,224,22,0,1,0,24
61,193,292,21,0,64,1,12
62,182,299,6,0,113,1,14
63,250,269,23,0,165,5,22
64,260,228,21,1,25,1,10
65,446,361,45,1,16,5,17
66,148,285,19,0,151,4,16
67,203,191,70,0,107,1,17
68,256,428,21,2,182,2,19
69,183,207,16,0,27,2,6
70,219,369,42,3,34,4,18
71,189,188,3,0,28,1,6
72,230,342,24,1,1,0,7
73,211,355,54,0,70,2,29
74,230,247,29,1,94,5,17
75,252,196,154,0,4,1,11
76,187,296,41,2,222,1,18
77,247,405,37,2,194,5,28
78,131,347,12,2,173,3,10
79,173,241,115,0,127,5,7
80,198,260,17,0,1,1,5
81,299,342,58,0,7,1,21
82,270,286,24,0,7,4,26
83,257,247,22,0,40,4,14
84,328,285,58,0,3,2,22
85,337,357,7,2,91,5,20
86,219,248,29,1,101,0,27
87,179,299,2,2,59,1,10
88,313,370,6,0,146,0,22
89,293,283,129,1,83,5,39
90,108,286,8,0,86,2,15
91,174,200,2,0,68,0,12
92,221,333,40,0,125,2,11
93,215,248,19,2,134,1,11
94,151,176,40,0,113,1,14
95,166,156,102,2,3,2,5
96,266,311,37,0,74,2,24
97,223,247,32,0,18,1,10
98,344,411,31,2,174,1,19
99,266,276,40,0,12,1,23
100,113,142,14,0,13,0,6
