,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,,BJP,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,91,207,0,8,1,1,45
1,63,126,0,3,0,4,25
2,155,189,0,11,2,0,11
3,416,292,0,25,8,14,87
4,215,209,0,24,0,7,66
5,163,335,0,6,2,3,66
6,238,195,0,17,3,1,62
7,192,186,0,7,6,9,57
8,270,314,0,17,7,16,114
9,168,233,0,2,2,5,33
10,291,148,0,13,0,6,58
11,246,237,0,11,3,14,95
12,257,257,0,20,1,6,55
13,341,222,0,13,0,11,57
14,203,165,0,16,4,6,57
15,209,209,0,14,6,10,62
16,379,255,0,22,9,7,91
17,161,135,0,3,5,13,52
18,221,221,0,15,14,8,103
19,352,251,0,5,14,21,85
20,382,236,0,17,4,34,96
21,294,190,0,19,3,14,50
22,334,249,0,12,1,14,62
23,504,268,0,16,11,10,94
24,314,214,0,16,9,21,62
25,202,131,0,11,2,12,76
26,346,203,0,16,4,8,76
27,289,127,0,7,6,2,44
28,316,266,0,34,2,8,95
29,385,277,0,14,5,10,135
30,396,400,0,12,5,10,145
31,280,134,0,14,2,14,93
32,316,188,0,18,5,9,125
33,438,304,0,11,39,7,102
34,257,197,0,21,28,10,132
35,249,259,0,12,12,13,76
36,182,145,0,10,5,6,61
37,339,255,0,14,7,6,72
38,158,236,0,14,4,8,67
39,325,248,0,25,5,12,98
40,260,253,0,19,6,18,74
41,303,287,0,13,3,11,122
42,169,127,0,2,1,9,21
43,566,236,0,15,6,13,59
44,398,219,0,18,6,7,104
45,479,255,0,23,5,13,61
46,292,104,0,8,6,5,25
47,172,134,0,11,1,3,58
48,267,209,0,7,2,2,53
49,284,171,0,6,2,2,75
50,188,131,0,12,2,6,46
51,265,227,0,8,4,0,99
52,214,307,0,17,6,14,92
53,567,340,0,9,3,2,47
54,191,148,0,2,2,4,25
55,348,220,0,16,3,6,90
56,230,190,0,11,2,2,64
57,240,211,0,7,5,10,54
58,224,212,0,10,2,4,125
59,235,205,0,7,3,1,83
60,274,263,0,9,8,3,76
61,151,288,0,0,0,0,97
62,359,209,0,14,2,3,61
63,352,352,0,26,6,4,83
64,348,195,0,4,5,1,45
65,292,139,0,7,7,4,31
66,223,185,0,13,1,6,46
67,367,218,0,15,4,18,80
68,521,264,0,21,10,7,90
69,131,155,0,23,3,10,53
70,201,149,0,26,5,4,58
71,208,203,0,21,6,16,81
72,329,174,0,11,2,4,112
73,260,172,0,4,1,18,39
74,262,193,0,7,2,13,40
75,279,161,0,7,5,3,60
76,223,130,0,15,4,3,37
77,188,201,0,15,2,9,47
78,198,201,0,8,3,3,50
79,410,360,0,11,3,18,75
80,197,124,0,3,3,2,58
81,468,264,0,29,7,9,74
82,286,117,0,26,4,3,65
83,251,213,0,13,2,3,44
84,228,266,0,10,6,4,53
85,311,165,0,6,0,2,42
86,546,279,0,12,7,1,122
87,241,184,0,6,6,3,64
88,436,354,0,4,4,10,46
89,375,317,0,12,3,1,95
90,409,314,0,5,6,22,66
91,377,280,0,10,16,5,52
92,154,309,0,7,8,6,42
93,191,295,0,9,0,6,27
94,91,212,0,0,0,1,31
95,107,123,0,1,0,0,17
96,182,190,0,1,1,1,19
97,27,42,0,0,0,0,4
98,178,230,0,19,4,8,107
99,335,359,0,17,5,13,109
100,346,280,0,16,4,7,107
101,78,58,0,4,2,1,23
102,425,380,0,14,2,12,77
103,417,319,0,23,27,14,124
104,297,172,0,9,4,6,324
105,337,303,0,13,11,13,133
106,254,178,0,10,1,5,56
107,241,251,0,28,5,8,73
108,278,182,0,46,9,10,78
109,180,125,0,15,3,9,54
110,287,267,0,41,9,5,92
111,130,171,0,23,8,7,51
112,178,230,0,19,4,8,112
113,335,359,0,17,5,13,113
114,346,280,0,16,4,7,108
115,78,58,0,4,2,1,23
116,425,380,0,14,2,12,90
117,417,319,0,23,27,14,137
118,297,172,0,9,4,6,335
119,337,303,0,13,11,13,134
120,254,178,0,10,1,5,59
121,241,251,0,28,5,8,76
122,278,182,0,46,9,10,93
123,180,125,0,15,3,9,59
124,287,267,0,41,9,5,103
125,130,171,0,23,8,7,58
126,246,224,0,18,19,4,81
127,298,263,0,35,18,9,72
128,249,171,0,18,1,4,73
129,253,153,0,19,4,2,45
130,236,225,0,37,9,5,48
131,195,222,0,34,4,8,54
132,173,181,0,15,4,3,60
133,324,287,0,29,6,4,88
134,211,198,0,11,6,8,148
135,165,182,0,9,5,5,89
136,234,293,0,15,3,12,89
137,575,328,0,33,9,11,123
138,340,190,0,22,3,8,70
139,250,191,0,7,7,1,92
140,285,291,0,6,3,3,52
141,328,265,0,8,1,0,53
142,256,217,0,2,4,0,65
143,250,191,0,10,0,2,84
144,315,196,0,17,1,12,51
145,372,149,0,110,0,15,89
146,335,153,0,55,12,8,85
147,274,275,0,7,0,2,55
148,156,193,0,2,2,2,40
149,386,341,0,39,15,11,99
150,241,512,0,13,4,2,62
151,252,159,0,11,3,0,38
152,346,192,0,16,4,7,70
153,383,132,0,9,6,6,60
154,220,122,0,10,4,5,37
155,271,273,0,16,4,7,61
156,212,192,0,16,6,6,43
157,129,205,0,7,1,7,56
158,298,219,0,23,3,5,55
159,279,181,0,18,3,13,61
160,131,203,0,12,2,2,32
161,161,235,0,21,4,7,36
162,278,246,0,25,7,4,68
163,401,337,0,41,4,5,86
164,185,119,0,35,1,1,23
165,366,247,0,29,3,7,86
166,376,311,0,69,9,11,88
167,417,243,0,38,9,10,50
168,168,157,0,30,5,1,20
169,126,274,0,10,1,3,66
170,200,381,0,2,2,4,73
171,281,301,0,4,3,4,138
172,428,275,0,13,9,17,65
173,299,220,0,9,1,3,43
174,287,182,0,16,3,0,36
175,320,196,0,19,0,0,68
176,430,363,0,12,4,2,112
177,403,316,0,25,6,0,76
178,143,375,0,8,3,0,70
179,265,334,0,17,2,5,83
180,163,159,0,15,1,1,47
181,421,369,0,12,3,1,71
182,433,287,0,6,5,1,40
183,559,313,0,12,4,2,38
184,250,101,0,12,0,1,34
185,219,219,0,7,5,7,32
186,408,236,0,10,3,1,49
187,286,262,0,6,2,4,35
188,281,285,0,2,1,2,33
189,162,380,0,4,6,2,51
190,263,333,0,22,3,5,153
191,117,272,0,10,3,9,63
192,306,253,0,9,4,12,78
193,404,283,0,21,4,14,105
194,279,247,0,38,8,5,97
195,116,185,0,18,6,3,74
196,320,206,0,27,8,5,88
197,214,145,0,70,5,2,64
198,182,127,0,43,5,5,79
199,311,257,0,32,5,6,121
200,212,170,0,10,5,3,35
201,201,235,0,11,2,6,95
202,211,266,0,22,2,2,99
203,262,293,0,28,10,12,101
204,188,114,0,9,2,1,62
205,340,224,0,9,10,8,87
206,380,129,0,13,5,0,50
207,302,94,0,22,6,3,83
208,241,190,0,8,1,9,62
209,285,162,0,12,8,1,112
210,425,300,0,27,4,2,130
211,243,177,0,9,4,9,25
212,267,163,0,21,9,2,128
213,512,244,0,35,7,7,171
214,242,241,0,6,10,5,65
215,147,124,0,7,2,5,45
216,268,199,0,15,5,2,73
217,307,256,0,4,11,8,133
218,102,160,0,7,2,4,52
219,210,260,0,5,2,0,56
220,260,128,0,61,3,13,45
221,233,171,0,16,5,7,52
222,295,182,0,16,18,2,122
223,189,160,0,3,1,1,49
224,242,270,0,2,6,7,55
225,352,164,0,11,25,2,68
226,328,188,0,8,8,3,41
227,377,205,0,20,7,2,45
228,159,139,0,55,0,1,23
229,176,194,0,7,4,7,65
230,223,162,0,14,5,6,35
231,232,181,0,80,4,3,52
232,409,234,0,56,5,20,98
233,256,337,0,20,2,5,144
234,192,150,0,48,3,5,70
235,172,166,0,8,4,7,95
236,213,262,0,8,5,12,104
237,397,169,0,14,3,13,114
238,136,121,0,9,0,1,50
239,163,139,0,7,0,4,72
240,163,206,0,6,6,13,89
241,275,416,0,11,5,12,139
242,218,141,0,37,2,11,83
243,290,120,0,70,3,2,46
244,358,166,0,12,3,1,52
245,382,108,0,15,3,8,39
246,304,148,0,21,5,2,60
247,229,243,0,6,3,0,78
248,172,191,0,4,2,1,35
249,170,185,0,11,0,0,53
250,272,215,0,7,2,2,130
251,216,230,0,5,2,3,65
252,174,285,0,1,5,2,53
253,225,210,0,89,2,4,42
254,219,228,0,9,5,2,55
255,283,243,0,13,4,3,51
256,327,310,0,11,3,5,63
257,369,142,0,16,3,3,27
258,271,190,0,6,7,3,48
259,162,175,0,2,4,1,24
260,417,210,0,24,2,2,55
261,373,164,0,37,4,1,38
262,316,125,0,20,4,4,21
263,406,197,0,26,4,4,28
264,127,148,0,7,1,5,34
265,150,342,0,5,1,1,38
266,122,324,0,6,0,1,51
267,338,441,0,19,3,4,78
268,355,215,0,9,15,4,32
269,233,214,0,4,0,2,41
270,248,333,0,57,5,13,100
271,210,142,0,32,4,13,42
272,162,213,0,15,0,7,69
273,272,226,0,9,2,0,53
274,98,466,0,6,0,1,108
275,526,237,0,6,11,6,40
276,447,372,0,13,2,2,73
277,139,275,0,4,5,8,62
278,116,188,0,3,1,12,30
279,253,337,0,4,2,12,45
280,316,343,0,28,5,17,84
281,143,199,0,24,1,4,50
282,114,189,0,19,3,2,59
283,248,324,0,32,1,1,69
284,126,276,0,5,5,5,65
285,234,177,0,30,6,3,53
286,164,197,0,13,1,5,117
287,330,230,0,3,1,5,31
Total,77955,64688,0,4816,1362,1787,20389
