,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,,BJP,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,336,171,0,21,4,7,117
1,224,149,0,25,2,4,76
2,330,354,0,26,5,5,174
3,203,69,0,41,2,0,82
4,289,186,0,54,2,2,156
5,171,139,0,46,1,1,102
6,224,174,0,16,0,1,66
7,311,294,0,47,3,11,152
8,424,219,0,26,2,3,89
9,220,152,0,61,1,5,57
10,210,139,0,44,9,7,59
11,298,280,0,25,10,8,65
12,128,114,0,0,1,15,44
13,138,161,0,3,0,4,38
14,245,210,0,63,3,0,99
15,169,201,0,3,2,16,22
16,145,114,0,28,3,1,71
17,66,65,0,76,0,0,16
18,288,234,0,129,3,9,85
19,228,268,0,5,3,14,61
20,244,369,0,22,8,6,81
21,231,240,0,7,4,13,39
22,249,302,0,13,2,37,75
23,267,361,0,31,5,17,80
24,135,265,0,4,2,35,46
25,139,282,0,7,0,20,25
26,156,108,0,10,5,36,21
27,343,408,0,16,4,28,27
28,145,168,0,3,0,6,7
29,145,291,0,3,1,9,12
30,177,272,0,1,0,3,15
31,167,247,0,5,2,6,26
32,161,304,0,5,1,5,20
33,267,476,0,5,1,15,46
34,194,525,0,10,3,28,48
35,178,402,0,9,1,12,27
36,110,259,0,5,2,29,19
37,247,284,0,5,6,10,58
38,158,325,0,11,0,18,87
39,204,387,0,18,2,11,73
40,160,415,0,18,4,8,45
41,114,228,0,5,2,5,40
42,215,259,0,16,1,5,75
43,244,114,0,16,7,3,59
44,238,131,0,2,1,0,112
45,232,89,0,20,0,1,68
46,221,80,0,40,2,5,67
47,278,234,0,51,2,20,72
48,321,149,0,102,3,4,58
49,247,138,0,89,8,2,83
50,187,97,0,44,6,1,115
51,225,76,0,54,1,2,83
52,352,145,0,95,2,5,167
53,184,134,0,42,5,1,56
54,148,175,0,58,2,1,47
55,252,238,0,62,5,3,46
56,156,146,0,67,1,3,33
57,115,218,0,48,2,3,46
58,197,253,0,16,1,5,77
59,149,293,0,16,1,5,45
60,223,273,0,16,0,2,53
61,155,234,0,24,2,2,47
62,230,182,0,69,6,1,61
63,180,276,0,12,3,4,89
64,283,344,0,29,2,4,111
65,168,295,0,8,1,0,21
66,178,344,0,11,4,2,34
67,214,417,0,22,2,14,40
68,111,208,0,1,0,4,10
69,246,320,0,15,0,1,48
70,138,189,0,3,0,2,23
71,269,245,0,15,6,6,33
72,203,257,0,5,1,30,12
73,215,275,0,4,1,1,12
74,190,465,0,2,0,0,19
75,270,333,0,31,1,3,54
76,149,243,0,81,5,7,67
77,161,245,0,37,5,8,34
78,119,259,0,7,2,4,38
79,205,93,0,81,2,2,62
80,92,297,0,55,3,5,36
81,263,275,0,74,5,4,86
82,202,117,0,48,4,2,45
83,194,219,0,60,1,4,36
84,138,171,0,82,1,3,35
85,191,201,0,102,4,1,110
86,154,121,0,87,6,3,53
87,171,274,0,2,1,2,31
88,95,255,0,4,2,0,41
89,213,247,0,32,2,1,28
90,235,252,0,36,3,1,62
91,362,292,0,55,4,2,75
92,366,301,0,66,5,4,66
93,279,190,0,12,4,0,87
94,180,263,0,22,6,3,36
95,391,375,0,34,5,14,48
96,367,429,0,92,9,4,67
97,102,85,0,23,2,0,21
98,366,253,0,27,4,3,50
99,292,235,0,26,4,1,48
100,162,224,0,16,5,6,49
101,281,258,0,64,5,12,50
102,243,444,0,33,2,0,36
103,180,295,0,14,2,1,82
104,191,249,0,12,1,3,47
105,218,237,0,17,1,3,53
106,273,402,0,32,4,1,79
107,338,495,0,14,6,42,75
108,184,355,0,12,2,71,77
109,319,345,0,15,5,61,46
110,238,417,0,14,6,33,71
111,197,309,0,13,4,8,93
112,204,285,0,12,2,19,75
113,159,351,0,8,1,10,30
114,110,259,0,3,0,13,35
115,129,448,0,7,0,11,40
116,306,524,0,14,3,37,92
117,302,471,0,26,2,23,48
118,254,473,0,21,10,60,60
119,347,568,0,9,6,32,83
120,457,496,0,27,6,29,116
121,222,560,0,16,2,17,73
122,255,501,0,10,3,47,70
123,229,332,0,9,7,24,46
124,268,333,0,16,7,7,50
125,304,379,0,14,8,15,54
126,126,333,0,9,7,34,33
127,335,460,0,16,3,12,37
128,140,193,0,12,3,5,23
129,248,305,0,35,11,38,56
130,252,336,0,11,1,3,64
131,344,459,0,11,10,14,58
132,196,221,0,6,1,15,79
133,158,240,0,16,6,10,111
134,175,256,0,24,7,11,109
135,181,341,0,12,1,24,42
136,321,208,0,6,2,8,66
137,256,503,0,11,3,72,68
138,252,445,0,8,6,47,43
139,235,550,0,5,0,31,91
140,219,561,0,21,10,10,62
141,174,285,0,18,5,7,41
142,146,276,0,22,2,9,29
143,207,356,0,26,1,2,39
144,281,392,0,43,14,8,78
145,222,386,0,52,3,6,75
146,208,290,0,26,7,10,40
147,180,258,0,39,1,9,34
148,266,265,0,37,6,11,48
149,277,264,0,100,3,20,72
150,150,302,0,9,1,5,17
151,236,355,0,32,7,7,63
152,80,120,0,9,2,4,21
153,327,503,0,15,2,13,51
154,322,413,0,34,3,16,75
155,125,183,0,28,3,8,38
156,314,291,0,22,4,9,41
157,250,300,0,67,3,2,47
158,178,170,0,30,4,0,18
159,348,405,0,55,8,3,51
160,293,279,0,26,5,7,28
161,239,212,0,27,1,5,39
162,288,278,0,56,5,1,28
163,244,218,0,60,2,1,32
164,154,250,0,40,5,5,81
165,177,220,0,28,2,6,89
166,193,280,0,35,6,5,53
