,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,CPI,,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,398,548,16,0,2,7,68
1,355,554,27,0,3,1,37
2,167,457,15,0,0,1,20
3,231,419,38,0,2,3,45
4,203,342,26,0,1,4,17
5,334,556,27,0,2,4,31
6,205,280,9,0,1,6,31
7,138,441,59,0,0,3,26
8,263,469,24,0,1,7,49
9,137,161,10,0,2,0,19
10,151,405,23,0,0,4,23
11,242,295,12,0,2,0,17
12,261,544,37,0,1,6,34
13,56,317,13,0,0,2,5
14,199,306,34,0,1,0,19
15,256,268,16,0,1,1,19
16,112,444,33,0,3,6,26
17,148,474,19,0,3,1,19
18,168,296,56,0,1,2,24
19,217,397,11,0,4,4,19
20,394,436,21,0,4,9,38
21,277,344,25,0,5,12,38
22,137,209,9,0,2,5,9
23,325,361,35,0,5,9,25
24,332,345,25,0,2,8,27
25,183,384,24,0,3,29,29
26,195,482,66,0,4,6,28
27,346,461,51,0,0,24,22
28,198,402,19,0,2,5,56
29,95,190,1,0,2,3,7
30,275,461,19,0,2,3,34
31,322,423,30,0,29,2,54
32,226,362,28,0,0,0,54
33,169,415,19,0,1,2,22
34,246,552,11,0,3,6,24
35,221,298,18,0,3,6,32
36,98,446,24,0,3,1,17
37,183,337,22,0,1,0,20
38,183,257,23,0,1,2,22
39,166,246,11,0,0,1,8
40,225,477,38,0,1,1,52
41,230,390,53,0,1,3,36
42,45,200,9,0,0,2,15
43,277,320,20,0,2,3,43
44,221,189,15,0,2,7,21
45,313,466,26,0,4,2,38
46,344,293,26,0,4,10,17
47,216,373,18,0,3,11,34
48,208,482,32,0,1,10,29
49,165,408,9,0,1,5,9
50,154,291,1,0,0,5,16
51,140,353,11,0,1,6,14
52,212,360,13,0,0,3,20
53,122,255,7,0,0,1,10
54,144,278,12,0,1,1,7
55,209,320,12,0,2,7,22
56,189,344,22,0,1,4,26
57,191,230,10,0,2,1,21
58,149,282,18,0,0,1,19
59,124,363,19,0,1,3,46
60,286,578,18,0,2,6,43
61,282,481,33,0,3,6,36
62,181,409,24,0,2,11,37
63,241,412,32,0,1,14,33
64,189,457,19,0,1,11,51
65,308,372,12,0,2,16,22
66,269,386,26,0,2,10,29
67,187,248,8,0,2,11,11
68,159,399,21,0,1,5,37
69,272,402,9,0,2,6,20
70,186,273,19,0,0,20,16
71,171,353,21,0,6,26,32
72,197,491,24,0,7,17,21
73,330,517,31,0,3,11,17
74,237,233,20,0,4,12,27
75,230,309,20,0,2,16,38
76,245,366,17,0,0,8,25
77,211,332,31,0,2,4,30
78,193,418,10,0,1,0,30
79,244,533,8,0,0,1,20
80,270,303,15,0,4,16,44
81,294,449,14,0,2,1,74
82,293,284,16,0,4,2,41
83,127,158,1,0,1,2,43
84,253,228,10,0,2,2,20
85,214,297,7,0,1,4,35
86,307,372,15,0,6,12,51
87,215,351,8,0,2,16,40
88,157,514,18,0,0,8,22
89,213,385,14,0,2,7,33
90,143,286,8,0,2,13,23
91,335,521,67,0,1,10,48
92,318,364,22,0,1,7,19
93,196,380,13,0,4,7,23
94,210,288,3,0,2,7,21
95,73,387,4,0,0,4,5
96,84,325,3,0,0,14,28
97,232,521,12,0,3,1,95
98,166,214,15,0,2,7,60
99,98,338,14,0,3,18,19
100,272,492,27,0,2,17,31
101,312,447,55,0,7,6,35
102,232,275,6,0,0,21,21
103,162,150,6,0,1,14,29
104,268,258,12,0,1,20,32
105,245,346,13,0,2,8,26
106,311,324,4,0,1,11,21
107,200,268,4,0,1,94,12
108,222,133,4,0,2,45,4
109,179,228,13,0,0,6,22
110,232,327,6,0,0,15,24
111,317,368,9,0,0,11,9
112,320,327,13,0,3,22,58
113,216,246,23,0,0,15,17
114,183,171,22,0,0,6,15
115,170,195,14,0,2,6,6
116,193,205,15,0,2,6,14
117,185,191,5,0,0,7,33
118,201,457,12,0,1,3,14
119,106,400,6,0,1,4,12
120,64,478,9,0,0,1,1
121,151,230,8,0,0,7,16
122,200,293,22,0,0,6,13
123,263,354,39,0,0,8,18
124,148,308,63,0,1,2,39
125,350,432,36,0,2,12,39
126,354,427,33,0,4,10,74
127,300,255,13,0,4,7,29
128,236,382,16,0,0,6,26
129,160,276,41,0,1,6,21
130,227,287,14,0,3,7,53
131,136,313,15,0,3,13,10
132,345,338,11,0,5,21,42
133,214,314,12,0,2,13,9
134,223,321,8,0,1,3,18
135,105,226,19,0,1,5,9
136,270,251,12,0,2,23,19
137,217,311,31,0,4,13,27
138,196,346,25,0,3,6,27
139,265,299,4,0,10,15,31
140,218,260,18,0,3,12,16
141,345,200,10,0,1,7,27
142,284,325,25,0,3,6,22
143,83,122,8,0,0,6,7
144,163,315,13,0,0,0,17
145,204,334,69,0,0,7,18
146,170,253,6,0,2,7,15
147,144,290,8,0,0,7,11
148,248,486,35,0,1,7,27
149,94,104,7,0,0,0,9
150,233,300,6,0,0,12,47
151,166,411,9,0,2,4,18
152,354,311,11,0,2,7,17
153,231,278,6,0,2,5,18
154,222,489,23,0,1,3,27
155,375,422,14,0,3,6,32
156,177,441,13,0,2,5,28
157,239,335,16,0,2,9,13
158,266,513,19,0,1,14,66
159,276,452,27,0,3,11,76
160,226,342,8,0,4,7,54
161,198,348,12,0,3,12,23
162,186,386,12,0,1,7,18
163,161,143,14,0,2,1,6
164,209,392,10,0,4,8,30
165,157,283,27,0,1,3,33
166,169,368,13,0,4,2,22
167,193,302,18,0,1,8,19
168,178,331,10,0,1,7,23
169,206,283,21,0,0,5,34
170,209,300,19,0,2,0,52
171,334,432,14,0,0,6,32
172,344,295,10,0,2,13,14
173,335,373,8,0,3,6,36
174,251,417,18,0,4,30,21
175,283,351,16,0,0,11,30
176,307,347,47,0,4,18,31
177,222,458,17,0,2,2,19
178,144,424,17,0,1,7,22
179,262,278,15,0,1,5,24
180,237,302,8,0,1,0,21
181,209,345,28,0,1,8,19
182,204,272,10,0,4,8,22
183,160,152,1,0,0,0,13
184,123,388,24,0,1,3,12
185,175,335,27,0,0,7,19
186,209,408,23,0,1,9,23
187,298,460,20,0,2,7,25
188,241,481,33,0,3,13,26
189,160,328,25,0,1,9,17
190,113,355,13,0,2,2,11
191,207,385,48,0,2,11,13
192,199,397,30,0,2,16,13
193,113,243,24,0,1,12,9
194,207,388,28,0,2,7,16
195,321,459,51,0,1,9,26
196,193,333,40,0,4,14,25
197,150,299,25,0,2,6,19
198,276,388,18,0,1,13,19
199,211,499,40,0,1,17,26
200,353,570,57,0,3,19,49
201,235,492,23,0,4,11,30
202,173,283,10,0,2,13,25
203,223,468,23,0,3,12,32
204,341,527,30,0,3,15,27
205,254,643,37,0,0,12,21
206,239,428,16,0,0,3,15
207,209,525,27,0,5,16,28
208,224,460,15,0,1,2,24
209,163,226,6,0,0,3,13
210,126,196,16,0,0,11,10
211,207,305,8,0,3,11,9
212,167,155,1,0,0,2,8
213,193,212,26,0,1,10,8
214,101,241,10,0,1,10,3
215,351,355,30,0,2,4,28
216,151,330,14,0,1,6,11
217,137,309,16,0,3,3,6
218,59,242,9,0,0,4,2
219,113,323,11,0,0,6,9
220,307,449,27,0,2,13,28
221,229,355,15,0,0,12,14
222,365,419,21,0,0,6,30
223,223,271,16,0,0,1,41
224,125,232,8,0,1,7,13
225,180,289,9,0,1,14,17
226,276,505,14,0,1,4,24
227,123,247,8,0,3,9,27
228,63,165,8,0,0,5,15
229,277,264,33,0,0,14,23
230,149,170,3,0,2,0,9
231,143,153,12,0,0,1,17
232,108,164,15,0,0,13,8
233,250,491,12,0,7,4,35
234,217,336,19,0,0,9,30
235,249,420,45,0,1,14,18
236,161,226,41,0,2,1,44
237,213,263,17,0,2,2,14
238,195,315,25,0,1,3,15
239,193,307,12,0,2,4,22
240,172,186,70,0,1,4,27
241,138,309,31,0,2,22,19
