,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,CPI,,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,461,357,19,0,8,3,22
1,196,372,5,0,2,0,31
2,341,486,84,0,6,4,52
3,342,255,3,0,3,0,22
4,244,331,7,0,6,3,18
5,114,228,18,0,3,6,17
6,264,479,43,0,6,7,30
7,135,276,27,0,2,1,11
8,311,382,23,0,5,2,37
9,214,179,19,0,2,2,32
10,210,187,42,0,1,0,61
11,310,402,34,0,6,3,139
12,251,441,18,0,4,1,37
13,247,365,31,0,1,8,28
14,138,124,12,0,2,6,13
15,465,367,49,0,4,6,51
16,220,380,47,0,5,7,37
17,166,384,122,0,4,0,40
18,109,622,34,0,2,2,30
19,104,185,15,0,1,0,9
20,228,287,56,0,7,2,24
21,184,218,10,0,6,2,23
22,224,364,14,0,0,19,14
23,148,120,8,0,2,4,7
24,225,553,8,0,4,2,22
25,260,240,20,0,2,8,22
26,268,569,14,0,6,3,72
27,194,456,17,0,2,8,45
28,364,328,37,0,5,0,39
29,276,441,14,0,4,2,31
30,337,369,24,0,2,5,99
31,415,395,43,0,7,4,46
32,407,462,23,0,6,5,60
33,254,351,6,0,7,2,34
34,194,315,75,0,4,16,46
35,176,263,59,0,2,10,28
36,361,316,18,0,5,4,49
37,317,320,46,0,4,4,65
38,347,431,48,0,8,13,59
39,186,375,57,0,5,9,47
40,329,346,30,0,2,2,54
41,269,299,32,0,6,13,46
42,175,342,39,0,1,18,43
43,153,240,12,0,1,10,43
44,261,285,10,0,6,1,66
45,393,407,76,0,3,4,71
46,181,219,21,0,1,12,26
47,218,251,41,0,5,13,61
48,230,385,45,0,6,9,44
49,202,314,33,0,4,16,39
50,363,431,55,0,7,23,73
51,251,200,30,0,3,8,34
52,240,289,21,0,5,7,64
53,291,329,26,0,1,2,28
