,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,,DMK,DMDK,BJP,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,0,274,16,12,1,2,216
1,0,290,18,2,3,4,227
2,0,224,25,6,3,16,291
3,0,301,34,5,5,14,393
4,0,336,48,5,4,17,474
5,0,203,31,7,2,7,351
6,0,347,24,2,7,13,266
7,0,272,10,2,6,8,360
8,0,334,21,4,36,18,390
9,0,366,24,6,3,6,324
10,0,450,14,5,2,5,249
11,0,424,38,6,10,5,362
12,0,345,8,3,3,5,362
13,0,255,21,2,0,9,276
14,0,262,25,5,1,5,345
15,0,379,43,3,1,7,504
16,0,242,11,3,4,4,388
17,0,232,8,2,1,10,281
18,0,352,17,6,9,5,417
19,0,301,11,3,11,7,323
20,0,372,15,4,0,4,383
21,0,413,14,4,19,5,323
22,0,421,20,0,17,11,269
23,0,316,6,6,1,7,305
24,0,178,7,5,3,1,212
25,0,261,13,14,2,0,307
26,0,322,21,7,2,4,406
27,0,350,13,3,4,3,264
28,0,381,35,7,1,3,307
29,0,408,25,7,3,10,456
30,0,331,7,0,2,6,243
31,0,173,13,5,30,6,347
32,0,223,21,2,1,3,186
33,0,307,23,6,3,1,397
34,0,290,20,0,0,3,134
35,0,205,17,3,1,5,250
36,0,448,34,7,3,9,332
37,0,285,19,1,7,0,181
38,0,349,19,4,3,9,245
39,0,160,30,0,10,0,272
40,0,478,76,3,1,2,446
41,0,169,6,1,1,0,152
42,0,192,31,2,1,0,186
43,0,405,31,4,3,9,372
44,0,458,35,3,3,2,310
45,0,230,21,4,1,14,168
46,0,157,7,1,3,0,270
47,0,327,54,6,1,0,292
48,0,309,14,4,28,0,276
49,0,289,13,0,2,1,245
50,0,280,27,3,0,2,277
51,0,391,32,4,2,9,344
52,0,298,22,4,2,3,294
53,0,247,31,3,4,8,329
54,0,370,11,2,6,15,396
55,0,165,5,2,1,4,180
56,0,395,11,3,3,6,440
57,0,277,24,3,4,6,266
58,0,195,27,8,15,11,371
59,0,281,19,2,1,2,354
60,0,316,16,5,5,9,496
61,0,236,14,2,1,10,281
62,0,243,9,0,3,0,316
63,0,346,16,5,8,3,373
64,0,306,11,4,15,4,385
65,0,234,7,5,9,2,359
66,0,441,18,5,10,7,478
67,0,276,16,3,13,1,511
68,0,259,37,7,11,5,358
69,0,293,34,5,4,6,267
70,0,283,8,1,0,2,360
71,0,344,12,3,2,4,264
72,0,255,8,3,4,4,316
73,0,232,23,1,13,6,315
74,0,299,14,1,2,4,349
75,0,188,21,3,2,2,298
76,0,220,12,4,14,4,313
77,0,283,12,3,142,3,414
78,0,374,20,5,0,11,399
79,0,486,16,3,10,5,375
80,0,259,5,0,16,0,275
81,0,541,20,2,1,4,344
82,0,464,18,7,44,13,462
83,0,538,14,6,2,11,421
84,0,225,20,1,5,2,164
85,0,238,9,2,2,3,199
86,0,303,26,0,0,13,237
87,0,376,21,2,4,2,227
88,0,405,12,4,2,2,370
89,0,370,9,11,29,8,459
90,0,242,9,3,2,4,442
91,0,425,58,3,21,11,492
92,0,218,37,4,9,3,388
93,0,209,10,2,1,5,153
94,0,337,17,7,8,1,400
95,0,234,13,1,1,1,238
96,0,295,23,1,1,6,409
97,0,327,6,2,3,4,234
98,0,260,7,3,4,4,317
99,0,303,7,1,38,8,265
100,0,272,23,5,0,6,335
101,0,277,30,2,2,10,311
102,0,399,17,4,2,9,491
103,0,168,21,1,0,7,143
104,0,317,35,7,1,26,195
105,0,299,23,7,0,10,350
106,0,280,17,4,2,11,292
107,0,342,32,3,0,13,277
108,0,224,8,7,0,11,202
109,0,324,10,5,0,11,201
110,0,258,10,4,1,6,269
111,0,252,5,7,0,5,273
112,0,301,5,8,0,20,241
