,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,DMDK,BJP,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,238,489,36,52,12,24,28
1,221,429,24,63,27,15,26
2,246,414,32,58,29,19,41
3,356,450,37,14,13,10,23
4,275,482,46,29,24,18,40
5,235,487,45,42,36,11,34
6,225,536,35,40,35,21,31
7,358,484,49,21,29,14,15
8,191,346,34,39,14,18,27
9,267,421,31,16,18,7,34
10,270,530,63,12,12,14,33
11,206,426,41,24,14,11,32
12,176,311,32,13,15,10,11
13,160,377,26,21,12,14,22
14,218,371,28,26,10,13,29
15,189,511,40,27,27,18,14
16,233,329,44,33,17,19,25
17,260,411,32,26,12,10,36
18,196,297,30,19,18,9,26
19,237,383,23,53,17,15,29
20,214,248,30,36,11,15,26
21,246,328,45,37,17,4,33
22,325,502,37,40,16,28,30
23,274,534,49,18,13,12,40
24,308,497,30,10,20,14,27
25,312,408,30,21,7,15,28
26,286,515,30,25,17,16,12
27,358,477,29,27,10,17,26
28,311,520,34,17,10,15,44
29,257,455,31,11,14,17,35
30,231,499,38,15,14,21,28
31,170,437,13,10,4,20,24
32,212,463,47,38,14,12,33
33,219,521,36,32,25,25,30
34,334,498,27,10,3,7,21
35,246,532,29,15,3,11,27
36,220,542,25,23,11,25,33
37,190,333,39,20,8,18,25
38,205,402,23,32,13,19,24
39,163,451,41,16,13,10,27
40,156,384,38,24,18,15,22
41,209,473,41,29,18,29,45
42,298,423,36,23,16,12,25
43,284,486,36,5,10,2,22
44,244,414,44,37,16,14,32
45,194,307,28,32,12,10,25
46,204,435,38,48,19,18,28
47,249,480,49,34,15,27,38
48,179,398,22,39,21,16,26
49,206,384,33,27,24,16,29
50,373,449,32,10,17,10,18
51,201,413,27,42,32,17,21
52,385,479,41,15,24,19,38
53,362,402,27,10,14,7,26
54,204,389,24,40,10,11,26
55,156,314,15,17,8,21,15
56,306,310,26,18,9,6,13
57,341,505,48,23,11,4,34
58,309,402,35,27,11,11,28
59,306,418,32,15,28,5,27
60,373,387,35,20,20,10,24
61,325,428,37,6,20,16,30
62,188,476,61,30,27,15,45
63,187,415,21,25,10,13,15
64,203,338,43,46,13,13,23
65,251,367,33,38,16,15,22
66,167,397,37,72,10,24,22
67,284,390,21,27,13,13,30
68,314,481,38,42,17,17,41
69,174,332,23,41,13,9,21
70,189,365,26,56,14,4,23
71,224,361,30,33,15,10,22
72,156,269,31,26,14,7,15
73,135,299,23,16,6,5,12
74,203,393,42,33,17,23,16
75,134,336,21,14,21,5,16
76,159,295,25,14,11,11,18
77,226,513,36,45,15,15,31
78,306,330,46,37,18,12,31
79,236,505,27,29,13,17,21
80,257,462,31,42,22,24,30
81,316,495,40,28,19,20,40
82,257,516,35,42,22,23,42
83,242,487,28,23,7,9,23
84,213,435,30,68,23,13,35
85,210,497,37,44,9,13,24
86,303,475,34,21,31,3,20
87,211,477,24,28,17,14,34
88,274,443,21,32,13,23,23
89,267,367,22,22,13,18,29
90,286,400,27,18,18,14,14
91,263,434,35,43,19,23,31
92,238,482,48,28,16,24,30
93,267,502,38,8,23,20,35
94,257,546,31,22,23,20,28
95,233,437,28,18,19,21,27
96,157,307,31,35,23,14,25
97,289,382,23,13,7,12,29
98,410,445,28,15,41,17,30
99,277,344,37,5,9,5,26
100,354,363,34,5,28,7,27
101,240,532,31,12,59,13,31
102,188,461,26,38,14,10,35
103,172,385,28,64,25,4,27
104,217,400,27,47,16,15,27
105,192,471,16,53,16,15,35
106,181,413,22,57,7,13,38
107,212,442,27,74,8,4,47
108,210,446,25,52,12,28,46
109,206,424,47,61,13,18,42
110,197,501,31,56,27,14,44
111,205,471,28,46,13,14,37
112,199,498,24,50,21,8,41
113,211,496,28,58,28,17,45
114,251,360,24,8,6,16,18
115,172,392,28,8,2,14,22
116,227,565,19,6,6,14,41
117,184,269,18,45,7,6,24
118,282,458,37,9,3,12,32
119,240,468,33,37,20,14,31
120,309,497,41,21,14,19,27
121,324,504,27,25,14,13,24
122,211,416,30,26,17,16,19
123,333,418,29,13,19,17,35
124,310,401,19,17,13,21,31
125,221,380,31,7,31,10,19
126,269,434,18,15,11,16,28
127,134,251,17,23,14,10,18
128,248,283,26,8,7,23,18
129,235,260,30,10,1,13,18
130,207,312,29,9,2,17,20
131,291,522,32,5,7,12,26
132,277,458,26,27,13,9,21
133,278,405,56,6,4,10,42
134,191,394,34,4,6,5,25
135,260,360,22,4,4,8,20
136,326,490,16,17,22,6,26
137,338,527,33,7,3,10,29
138,325,533,18,10,10,5,27
139,308,437,19,16,8,11,31
140,221,447,15,17,4,6,21
141,232,427,13,4,5,7,25
142,273,326,9,6,3,9,12
143,376,417,30,5,4,10,30
144,350,462,34,11,23,6,32
145,248,391,27,26,24,13,31
146,307,349,19,19,18,8,20
147,238,547,17,1,1,9,22
148,226,329,11,2,1,1,10
149,214,408,24,31,14,17,27
150,247,335,35,21,19,11,27
151,172,345,18,9,5,6,15
152,289,321,28,23,15,8,30
153,340,505,24,6,4,5,34
154,262,427,21,3,3,9,12
155,254,483,29,14,4,14,40
156,67,160,14,14,3,7,9
157,250,488,32,8,19,9,31
158,269,618,32,4,6,8,42
159,257,594,36,13,2,18,26
160,288,460,16,4,6,3,22
161,277,441,30,1,2,5,19
162,183,419,38,37,12,10,36
163,260,280,19,11,11,21,23
164,282,334,16,9,9,12,30
165,324,417,21,33,14,19,34
166,274,354,25,22,6,11,36
167,252,427,34,48,29,19,37
168,239,282,24,33,18,21,26
169,180,392,13,24,9,23,40
170,193,499,15,7,8,6,40
171,320,376,24,27,5,15,62
172,168,190,15,7,13,10,21
173,152,255,6,19,5,8,22
174,162,363,27,6,8,12,30
175,176,351,9,8,5,14,67
176,121,266,14,24,10,8,16
177,151,216,16,11,8,2,17
178,210,461,17,6,7,5,21
179,180,306,18,8,3,9,17
180,220,357,27,25,14,12,29
181,269,489,27,17,6,7,20
182,258,431,41,37,13,19,22
183,333,583,15,9,4,4,25
184,319,473,37,8,2,11,33
185,142,190,12,21,10,7,19
186,263,311,35,26,17,11,21
187,253,436,16,16,25,7,20
188,177,387,28,31,12,6,30
189,269,465,27,17,8,10,22
190,265,402,15,32,8,17,26
191,225,319,21,46,14,18,24
192,168,344,23,17,9,9,20
193,217,342,23,30,25,17,38
194,288,520,29,14,17,11,28
195,114,185,9,9,3,4,12
196,299,550,30,29,23,16,23
197,229,463,28,24,17,13,29
198,219,408,18,51,12,9,28
199,284,373,48,17,4,13,19
200,181,360,26,14,14,13,17
201,261,435,24,25,8,12,18
202,233,299,22,16,11,13,25
203,318,528,15,6,9,10,44
204,151,413,15,3,1,1,14
205,192,283,17,3,10,10,11
206,153,238,14,7,4,10,12
207,218,532,15,6,5,2,33
208,222,315,21,17,9,12,34
209,223,435,13,6,15,8,16
210,240,242,20,41,14,8,28
211,257,401,22,33,23,18,30
212,276,398,27,31,10,16,27
213,210,279,14,30,8,5,9
214,258,361,39,28,10,7,29
215,176,246,10,36,15,10,21
216,208,322,16,8,6,17,22
217,176,358,15,2,5,4,18
218,213,311,30,19,16,18,20
219,293,401,25,11,7,13,29
220,179,263,25,10,8,6,30
221,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
Total,53333,90534,6252,5267,3011,2820,6001
