,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,DMDK,BJP,PMK,,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,348,131,10,6,21,0,12
1,287,194,20,6,69,0,17
2,196,233,8,4,142,0,16
3,426,181,12,4,5,0,12
4,393,105,4,4,3,0,7
5,189,233,4,0,29,0,11
6,123,297,4,3,47,0,8
7,282,160,8,1,43,0,13
8,286,121,7,3,21,0,22
9,480,161,10,1,32,0,14
10,336,147,5,2,105,0,17
11,362,283,26,4,62,0,15
12,523,303,32,8,48,0,22
13,310,235,45,2,28,0,12
14,171,135,2,5,97,0,14
15,278,289,6,5,109,0,19
16,233,247,7,5,71,0,15
17,269,324,7,7,122,0,21
18,369,257,23,4,82,0,20
19,395,200,10,13,46,0,11
20,349,146,21,4,13,0,5
21,250,121,10,3,27,0,19
22,183,289,14,2,21,0,11
23,304,237,9,2,41,0,11
24,220,211,9,2,39,0,11
25,540,284,8,4,73,0,19
26,279,226,9,4,20,0,17
27,188,177,9,9,67,0,11
28,264,299,15,5,32,0,16
29,225,187,6,9,21,0,13
30,224,249,8,6,45,0,22
31,258,290,14,3,83,0,18
32,176,156,14,5,43,0,13
33,207,275,19,3,36,0,8
34,280,376,16,5,88,0,24
35,515,248,15,8,26,0,18
36,222,240,13,2,30,0,19
37,445,264,19,2,37,0,23
38,312,450,14,4,34,0,16
39,338,259,6,3,135,0,17
40,409,291,9,4,86,0,19
41,511,283,14,3,56,0,17
42,398,139,4,1,83,0,10
43,477,405,23,9,89,0,28
44,204,257,15,4,122,0,19
45,124,164,8,5,59,0,9
46,300,331,41,6,103,0,23
47,164,241,6,3,113,0,18
48,237,223,13,4,104,0,20
49,412,401,10,9,88,0,24
50,278,304,16,2,41,0,13
51,148,220,3,2,100,0,8
52,234,265,19,4,53,0,16
53,216,246,16,5,208,0,17
54,252,293,27,6,97,0,19
55,197,252,21,14,53,0,17
56,197,289,29,11,15,0,4
57,454,385,20,5,48,0,15
58,464,297,7,6,2,0,20
59,341,291,22,4,64,0,13
60,211,288,17,1,45,0,15
61,339,252,14,3,81,0,18
62,145,284,3,4,49,0,12
63,291,305,15,10,87,0,24
64,379,327,15,10,112,0,27
65,485,280,12,2,149,0,31
66,168,200,14,0,60,0,5
67,109,97,5,0,24,0,2
68,252,422,14,6,84,0,27
69,267,194,10,1,151,0,22
70,211,193,10,2,131,0,17
71,309,256,12,5,125,0,19
72,278,543,12,9,19,0,20
73,152,590,12,5,10,0,19
74,345,383,17,2,147,0,10
75,266,246,11,3,53,0,14
76,226,214,34,0,99,0,14
77,361,336,17,3,112,0,21
78,302,324,22,4,119,0,19
79,314,365,20,1,78,0,13
80,304,254,23,3,143,0,20
81,242,242,8,5,174,0,21
82,270,195,6,0,115,0,22
83,153,115,3,3,124,0,11
84,303,235,7,1,188,0,14
85,122,220,5,1,38,0,7
86,292,377,1,0,99,0,25
87,407,465,28,13,29,0,63
88,136,312,13,1,14,0,30
89,263,220,11,3,20,0,25
90,235,428,23,3,12,0,62
91,353,173,11,3,37,0,31
92,357,152,10,8,21,0,54
93,323,357,25,8,92,0,14
94,326,226,17,2,86,0,13
95,206,315,8,2,51,0,10
96,474,302,15,4,56,0,11
97,220,202,13,5,48,0,34
98,328,150,6,0,75,0,24
99,363,95,6,1,31,0,10
100,395,451,19,4,45,0,14
101,355,445,15,5,63,0,14
102,238,257,13,10,83,0,19
103,354,272,10,5,68,0,18
104,331,404,17,7,37,0,27
105,221,324,17,4,46,0,12
106,332,439,33,10,109,0,17
107,284,360,17,7,57,0,13
108,373,334,19,3,12,0,19
109,293,251,10,1,3,0,14
110,177,156,10,3,3,0,10
111,333,403,12,3,13,0,21
112,191,189,4,4,9,0,18
113,257,238,16,2,21,0,15
114,416,244,11,1,38,0,9
115,449,303,16,3,34,0,24
116,393,298,14,3,19,0,17
117,485,280,17,2,67,0,13
118,321,216,17,1,22,0,27
119,254,243,14,1,73,0,13
120,382,354,20,8,73,0,10
121,170,193,16,1,23,0,6
122,413,359,24,6,97,0,22
123,351,171,18,3,15,0,26
124,233,231,5,9,7,0,17
125,409,470,6,2,31,0,18
126,378,331,19,5,13,0,15
127,277,352,15,0,78,0,16
128,342,216,1,5,9,0,9
129,196,256,14,3,35,0,13
130,256,284,14,6,90,0,10
131,367,252,4,3,127,0,13
132,537,229,6,4,95,0,30
133,330,218,25,3,96,0,27
134,92,190,5,1,49,0,5
135,227,239,17,2,33,0,12
136,277,222,8,2,31,0,10
137,458,371,21,2,83,0,17
138,240,260,7,6,43,0,13
139,287,237,6,1,19,0,10
140,346,249,5,3,19,0,10
141,384,266,2,2,39,0,11
142,512,270,27,2,38,0,17
143,393,394,18,4,45,0,26
144,473,333,17,1,79,0,32
145,402,328,26,2,47,0,21
146,454,343,25,1,108,0,22
147,119,63,7,2,18,0,5
148,389,398,13,4,76,0,31
149,222,241,8,4,36,0,12
150,412,296,4,3,50,0,16
151,455,298,5,2,60,0,19
152,486,274,50,2,28,0,21
153,329,243,31,4,53,0,15
154,451,180,27,16,22,0,21
155,375,298,18,14,48,0,26
156,439,439,8,1,81,0,47
157,379,341,18,2,45,0,20
158,403,406,28,2,145,0,19
159,437,272,25,8,67,0,34
160,462,250,18,5,80,0,43
161,343,302,25,2,123,0,10
162,288,173,12,1,140,0,15
163,433,366,27,11,30,0,33
164,279,273,19,1,27,0,9
165,447,269,36,5,132,0,32
166,380,385,16,10,18,0,21
167,394,254,15,1,60,0,7
168,281,214,11,7,74,0,20
169,174,186,9,1,40,0,6
170,327,279,14,4,69,0,48
171,157,216,10,3,38,0,18
172,308,396,21,1,65,0,40
173,214,224,3,0,30,0,14
174,282,383,19,2,109,0,15
175,251,248,4,2,71,0,13
176,297,178,4,4,83,0,15
177,275,291,18,1,35,0,8
178,284,420,9,1,19,0,7
179,6,240,15,4,1,0,437
180,275,496,7,5,30,0,14
181,311,297,8,4,12,0,13
182,304,241,5,3,47,0,5
183,265,182,7,3,10,0,11
184,135,206,6,3,27,0,10
185,70,63,4,2,23,0,6
186,442,382,18,5,29,0,27
187,376,149,13,1,65,0,20
188,440,219,16,2,75,0,15
189,435,310,18,5,172,0,22
190,255,159,8,3,159,0,17
191,321,269,9,2,7,0,17
192,309,237,10,2,193,0,12
193,208,47,9,1,217,0,7
194,245,252,18,3,109,0,20
195,522,268,31,5,170,0,15
196,375,276,17,0,37,0,10
197,442,127,14,3,88,0,19
198,631,187,2,6,87,0,14
199,357,333,18,8,44,0,21
200,232,190,7,8,13,0,9
201,249,218,7,3,50,0,16
202,386,250,8,1,78,0,16
203,294,147,4,1,48,0,12
204,364,334,11,6,70,0,22
205,318,235,13,4,88,0,12
206,356,320,8,9,80,0,13
207,296,180,2,2,96,0,17
208,363,168,5,3,93,0,5
209,409,480,17,0,79,0,12
210,272,246,7,10,51,0,9
211,334,515,14,1,47,0,23
212,378,335,1,2,27,0,10
213,319,165,6,3,71,0,3
214,359,370,3,2,39,0,9
215,350,351,5,7,218,0,15
216,310,256,7,3,71,0,12
217,293,237,4,3,147,0,15
218,306,223,4,2,70,0,6
219,279,130,2,2,6,0,4
220,288,132,1,1,74,0,8
221,307,155,2,0,105,0,8
222,488,314,15,4,122,0,23
223,314,439,28,17,10,0,28
224,324,219,29,7,3,0,14
225,257,225,8,2,5,0,10
226,319,273,10,3,61,0,17
227,293,305,14,2,29,0,27
228,355,340,11,2,11,0,13
229,297,307,9,3,64,0,20
230,425,201,7,3,189,0,17
231,405,228,8,6,206,0,22
232,256,288,3,9,14,0,12
233,328,279,4,0,2,0,12
234,360,215,18,1,62,0,27
235,206,143,6,7,23,0,20
236,214,257,10,4,21,0,17
237,158,379,13,4,13,0,16
238,124,252,12,9,43,0,22
239,165,230,13,6,26,0,16
240,113,169,13,7,34,0,21
241,117,187,10,4,18,0,11
242,283,309,24,7,26,0,25
