,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,INC,DMDK,BJP,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,562,222,58,11,0,1,31
1,363,167,10,4,0,1,46
2,484,186,14,6,0,0,49
3,462,187,10,9,1,0,59
4,157,80,96,5,0,2,40
5,381,396,28,16,2,3,61
6,310,164,28,11,4,6,35
7,466,116,16,7,0,2,53
8,742,323,14,8,1,3,48
9,681,149,16,10,2,2,27
10,511,347,51,4,2,17,56
11,458,187,16,11,1,7,122
12,322,229,163,4,0,2,20
13,214,88,152,17,1,1,39
14,389,234,140,10,1,7,45
15,270,361,55,13,1,4,39
16,433,375,77,22,0,3,60
17,417,152,134,20,0,3,48
18,412,127,211,32,2,5,43
19,282,174,295,36,1,5,46
20,253,614,28,9,1,4,54
21,218,368,37,6,2,12,60
22,328,282,49,48,7,34,41
23,318,385,107,20,6,22,42
24,265,146,105,15,2,5,25
25,232,92,77,11,1,5,25
26,380,158,133,17,3,5,53
27,340,162,107,29,4,1,35
28,299,263,52,23,4,5,22
29,414,322,140,28,6,22,48
30,127,574,22,7,4,7,60
31,159,520,8,6,2,7,16
32,345,270,39,13,5,5,27
33,301,359,30,5,1,16,22
34,229,137,79,16,4,6,16
35,287,105,42,13,5,4,23
36,218,153,108,19,5,13,28
37,167,197,44,35,8,11,15
38,102,186,49,51,20,23,18
39,129,162,46,60,11,19,15
40,238,151,28,22,4,20,22
41,242,171,56,29,1,13,28
42,312,161,43,22,4,18,19
43,311,185,51,25,5,15,37
44,408,247,47,40,10,10,45
45,283,185,46,11,4,7,22
46,398,283,58,26,2,15,33
47,280,130,35,8,3,8,37
48,295,95,27,5,2,4,33
49,318,107,16,9,1,8,25
50,221,98,23,10,1,1,21
51,542,224,72,42,7,17,50
52,284,365,68,13,2,10,53
53,69,173,17,7,3,3,17
54,163,199,64,15,5,8,10
55,226,168,27,8,4,8,27
56,339,196,23,5,0,12,26
57,233,119,47,14,2,4,38
58,351,218,52,16,2,10,40
59,265,336,60,12,3,0,38
60,318,284,86,20,3,6,98
61,491,287,65,11,4,10,60
62,217,134,17,6,1,4,25
63,538,229,57,14,8,11,80
64,78,137,21,9,3,8,17
65,220,271,67,25,3,17,28
66,281,270,89,19,1,12,28
67,215,229,48,11,2,11,33
68,220,315,87,15,2,5,46
69,167,278,37,10,1,5,40
70,174,305,78,7,2,11,32
71,325,389,101,16,1,6,28
72,376,237,95,21,9,10,26
73,328,354,144,27,3,4,43
74,243,300,70,33,7,16,33
75,260,195,78,8,0,5,28
76,210,275,76,7,2,2,36
77,137,145,38,8,1,5,10
78,192,256,61,5,3,8,17
79,321,400,164,20,6,3,55
80,606,241,40,10,4,6,44
81,77,203,14,12,4,7,18
82,185,272,36,12,2,11,22
83,163,223,31,10,4,13,29
84,177,179,75,11,10,8,29
85,277,229,59,6,4,11,29
86,350,196,107,30,6,13,22
87,361,294,52,15,8,13,43
88,332,190,75,16,1,6,40
89,144,220,68,12,4,6,32
90,219,232,74,16,2,8,29
91,240,263,41,16,1,10,25
92,214,252,31,10,3,12,23
93,136,223,32,11,2,16,27
94,237,247,95,14,3,2,21
95,208,163,43,15,2,13,17
96,170,153,31,20,5,6,18
97,186,98,39,7,0,0,17
98,150,136,49,12,3,1,15
99,259,162,78,6,2,10,21
100,371,311,149,37,6,17,42
101,261,108,85,8,0,3,23
102,394,273,77,21,1,11,30
103,382,311,118,18,7,13,45
104,144,109,25,16,0,1,14
105,218,127,58,9,3,11,32
106,238,143,45,5,0,9,11
107,421,163,67,12,2,10,24
108,424,208,89,35,3,9,33
109,118,78,34,2,1,2,14
110,475,266,76,17,8,9,46
111,268,239,82,28,6,19,30
112,173,197,43,23,6,10,19
113,173,148,48,14,4,16,23
114,187,226,85,33,6,14,18
115,441,176,73,9,2,6,43
116,105,121,149,34,3,3,88
117,191,183,69,23,1,8,40
118,338,273,67,10,5,5,47
119,83,321,9,5,1,0,23
120,110,404,30,4,1,7,29
121,123,233,58,37,5,22,22
122,178,238,77,48,15,28,43
123,41,129,16,9,5,3,4
124,196,328,59,39,14,25,33
125,83,120,34,15,6,15,13
126,203,139,24,13,0,10,18
127,287,217,35,14,4,6,23
128,153,126,18,10,2,10,16
129,270,211,87,6,1,10,23
130,345,510,52,12,2,11,33
131,80,364,15,12,1,0,11
132,336,140,44,7,1,2,19
133,239,388,24,9,5,11,34
134,131,193,11,2,3,2,15
135,206,381,26,6,2,5,27
136,179,61,19,6,0,7,10
137,606,153,33,11,4,13,47
138,587,169,39,17,5,17,18
139,387,218,30,16,2,18,30
140,262,174,38,10,1,16,41
141,227,108,31,13,3,1,21
142,607,145,28,23,4,17,33
143,130,80,18,15,1,11,11
144,305,328,46,14,7,18,49
145,514,192,37,20,8,27,37
146,268,245,41,18,0,7,20
147,206,187,40,14,4,9,21
148,299,222,43,24,7,13,33
149,225,219,35,14,3,8,24
150,84,127,27,11,5,5,8
151,213,214,61,24,7,14,27
152,178,199,41,22,5,11,20
153,329,360,51,23,3,22,21
154,99,89,38,6,3,6,16
155,345,328,76,29,5,11,33
156,288,250,67,27,7,15,33
157,302,277,69,28,4,19,33
158,357,247,69,24,7,21,31
159,196,262,143,16,2,2,44
160,290,126,88,8,0,6,35
161,212,440,45,10,3,2,27
162,337,230,78,24,2,15,33
163,147,133,44,9,4,12,18
164,329,247,83,9,1,4,18
165,164,96,27,3,0,1,10
166,306,171,59,15,0,2,21
167,202,172,47,4,1,8,18
168,433,377,122,28,6,15,36
169,266,188,76,17,6,7,33
170,295,130,97,3,0,0,26
171,648,204,59,13,0,5,25
172,180,253,59,22,4,9,21
173,218,226,68,23,6,11,18
174,270,234,73,42,14,13,35
175,178,198,57,30,11,23,30
176,270,115,54,32,1,10,20
177,295,126,59,27,7,6,24
178,372,157,40,11,2,9,29
179,330,187,59,32,7,9,49
180,123,144,28,92,8,12,27
181,347,239,63,62,10,23,37
182,329,149,70,11,5,9,28
183,266,111,39,20,3,15,25
184,373,187,49,18,5,8,32
185,369,200,77,9,3,19,35
186,229,176,35,23,4,8,15
187,293,142,58,23,6,15,31
188,516,243,34,28,7,17,55
189,557,124,32,20,3,21,38
190,204,330,93,141,24,41,52
191,122,242,67,96,18,31,36
192,181,357,71,153,22,37,34
193,171,300,57,92,20,32,31
194,256,131,33,47,7,16,29
195,151,233,43,34,11,24,28
196,163,236,33,52,7,34,31
197,230,319,51,56,10,20,27
198,232,248,46,40,14,35,26
199,376,302,84,22,6,30,79
200,265,239,59,14,2,17,27
201,214,230,40,13,1,11,43
202,346,355,82,34,7,22,39
203,168,191,29,37,8,20,30
204,192,336,51,16,5,12,38
205,224,403,67,8,6,12,33
206,183,240,63,17,1,9,26
207,308,248,39,12,4,15,20
208,218,298,53,56,12,25,38
209,106,123,38,44,6,5,20
210,112,122,15,21,4,11,14
211,188,280,77,43,17,20,20
212,574,232,48,36,10,13,48
213,363,106,27,6,1,5,37
214,340,215,49,21,2,11,40
215,276,278,41,25,4,5,15
216,373,275,43,8,3,5,22
217,265,220,25,11,5,3,26
218,167,245,26,7,3,8,9
219,277,422,49,9,1,13,35
220,443,289,81,52,16,25,41
221,124,120,37,48,18,15,23
222,202,221,85,48,12,12,55
223,241,251,62,33,4,7,38
224,158,196,47,20,6,8,21
225,242,208,47,27,12,8,26
226,204,348,63,81,24,30,51
227,345,333,121,53,11,43,39
228,74,123,20,16,2,26,12
229,220,295,55,62,29,33,54
230,261,399,81,72,12,46,70
231,339,446,94,72,24,71,56
232,222,379,74,63,10,25,64
233,318,467,112,63,17,57,50
234,238,365,76,51,10,33,49
235,226,92,180,14,1,1,27
236,236,90,163,24,3,6,23
237,332,80,144,20,1,1,39
238,291,149,180,11,1,9,35
239,266,92,119,8,3,2,53
240,192,80,123,14,7,2,24
241,407,282,75,38,6,23,49
242,337,139,30,13,2,12,31
243,215,167,123,39,2,7,22
244,155,156,134,33,9,11,29
245,122,177,70,42,8,12,21
246,117,200,63,56,10,23,20
247,249,243,100,54,13,21,31
248,172,165,51,41,15,35,22
249,187,180,63,55,4,16,16
250,389,192,56,39,19,25,49
251,179,335,31,4,2,20,35
252,332,358,47,32,6,18,42
253,349,292,45,23,8,14,30
254,454,302,65,12,9,13,42
255,443,280,111,13,5,16,58
256,281,366,97,25,7,13,36
257,145,55,158,21,1,2,17
258,175,242,36,11,4,6,14
259,365,100,31,12,1,9,33
260,338,155,131,14,2,4,19
261,213,206,64,3,3,7,17
262,249,112,66,15,2,4,16
263,279,140,71,20,5,3,22
264,278,167,81,14,4,8,20
265,265,163,72,11,7,4,26
266,406,157,105,7,2,8,20
267,263,149,56,15,1,7,9
268,318,144,37,18,1,1,21
269,390,223,72,26,4,11,23
270,144,120,37,24,3,10,14
271,420,201,57,14,5,5,28
272,346,205,75,25,8,17,21
273,373,180,102,41,5,14,43
274,336,214,85,33,16,35,43
275,496,179,77,17,3,9,24
Total,76536,61402,17289,6157,1341,3232,8801
