,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,"['ADMK', 'RPI']",INC,MDMK,BJP,PMK,NTK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,566,1000,90,49,22,35,43
1,4189,2909,396,364,188,209,492
2,4201,2769,469,348,104,206,348
3,4259,2650,533,598,122,211,393
4,4726,2799,508,356,76,132,297
5,5052,2678,462,297,67,179,236
6,5025,2409,335,412,119,186,276
7,4298,2588,470,437,90,125,280
8,4954,2881,584,619,109,223,382
9,4604,3424,547,290,45,143,285
10,4268,3613,437,296,68,175,257
11,4367,3482,392,274,63,215,271
12,4780,3572,416,329,85,258,274
13,4442,3292,411,334,67,215,343
14,3271,2945,543,278,93,223,333
15,3589,3573,602,339,133,249,333
16,4183,3413,672,383,125,276,374
17,5201,3763,641,440,79,316,323
18,2592,3044,853,580,167,348,391
19,1477,1240,333,187,44,109,163
Total,80044,58044,9694,7210,1866,4033,6094
