,Schedule No.,Constituency_x,2020 District,2011 District,Lok Ac,Turnout [4],Winner,Party,Margin,Party_abbrv
72,73,Vanur,Viluppuram,Viluppuram,Villupuram,78.66,D. Ravikumar,Dravida Munnetra Kazhagam,128068,DMK
73,74,Villupuram,Viluppuram,Viluppuram,Villupuram,78.66,D. Ravikumar,Dravida Munnetra Kazhagam,128068,DMK
74,75,Vikravandi,Viluppuram,Viluppuram,Villupuram,78.66,D. Ravikumar,Dravida Munnetra Kazhagam,128068,DMK
75,76,Tirukkoyilur,Kallakurichi,Viluppuram,Villupuram,78.66,D. Ravikumar,Dravida Munnetra Kazhagam,128068,DMK
76,77,Ulundurpettai,Kallakurichi,Viluppuram,Villupuram,78.66,D. Ravikumar,Dravida Munnetra Kazhagam,128068,DMK
77,78,Rishivandiyam,Kallakurichi,Viluppuram,Kallakurichi,78.81,Pon. Gautham Sigamani,Dravida Munnetra Kazhagam,399919,DMK
78,79,Sankarapuram,Kallakurichi,Viluppuram,Kallakurichi,78.81,Pon. Gautham Sigamani,Dravida Munnetra Kazhagam,399919,DMK
79,80,Kallakurichi,Kallakurichi,Viluppuram,Kallakurichi,78.81,Pon. Gautham Sigamani,Dravida Munnetra Kazhagam,399919,DMK
80,81,Gangavalli,Salem,Salem,Kallakurichi,78.81,Pon. Gautham Sigamani,Dravida Munnetra Kazhagam,399919,DMK
81,82,Attur,Salem,Salem,Kallakurichi,78.81,Pon. Gautham Sigamani,Dravida Munnetra Kazhagam,399919,DMK
82,83,Yercaud,Salem,Salem,Kallakurichi,78.81,Pon. Gautham Sigamani,Dravida Munnetra Kazhagam,399919,DMK
83,84,Omalur,Salem,Salem,Salem,77.91,S. R. Parthiban,Dravida Munnetra Kazhagam,146926,DMK
84,85,Mettur,Salem,Salem,Dharmapuri,82.41,Dr. S. Senthil Kumar,Dravida Munnetra Kazhagam,70753,DMK
85,86,Edapadi,Salem,Salem,Salem,77.91,S. R. Parthiban,Dravida Munnetra Kazhagam,146926,DMK
86,87,Sankagiri,Salem,Salem,Namakkal,80.22,A. K. P. Chinraj,Dravida Munnetra Kazhagam,265151,DMK
87,88,Salem (West),Salem,Salem,Salem,77.91,S. R. Parthiban,Dravida Munnetra Kazhagam,146926,DMK
88,89,Salem (North),Salem,Salem,Salem,77.91,S. R. Parthiban,Dravida Munnetra Kazhagam,146926,DMK
89,90,Salem (South),Salem,Salem,Salem,77.91,S. R. Parthiban,Dravida Munnetra Kazhagam,146926,DMK
90,91,Veerapandi,Salem,Salem,Salem,77.91,S. R. Parthiban,Dravida Munnetra Kazhagam,146926,DMK
91,92,Rasipuram,Namakkal,Namakkal,Namakkal,80.22,A. K. P. Chinraj,Dravida Munnetra Kazhagam,265151,DMK
92,93,Senthamangalam,Namakkal,Namakkal,Namakkal,80.22,A. K. P. Chinraj,Dravida Munnetra Kazhagam,265151,DMK
93,94,Namakkal,Namakkal,Namakkal,Namakkal,80.22,A. K. P. Chinraj,Dravida Munnetra Kazhagam,265151,DMK
94,95,Paramathi Velur,Namakkal,Namakkal,Namakkal,80.22,A. K. P. Chinraj,Dravida Munnetra Kazhagam,265151,DMK
95,96,Tiruchengodu,Namakkal,Namakkal,Namakkal,80.22,A. K. P. Chinraj,Dravida Munnetra Kazhagam,265151,DMK
96,97,Kumarapalayam,Namakkal,Namakkal,Erode,73.11,A. Ganesha Murthi,Dravida Munnetra Kazhagam,210618,DMK
97,98,Erode (East),Erode,Erode,Erode,73.11,A. Ganesha Murthi,Dravida Munnetra Kazhagam,210618,DMK
98,99,Erode (West),Erode,Erode,Erode,73.11,A. Ganesha Murthi,Dravida Munnetra Kazhagam,210618,DMK
99,100,Modakkurichi,Erode,Erode,Erode,73.11,A. Ganesha Murthi,Dravida Munnetra Kazhagam,210618,DMK
100,101,Perundurai,Erode,Erode,Tiruppur,73.21,K. Subbarayan,Communist Party of India,93368,CPI
101,102,Bhavani,Erode,Erode,Tiruppur,73.21,K. Subbarayan,Communist Party of India,93368,CPI
102,103,Anthiyur,Erode,Erode,Tiruppur,73.21,K. Subbarayan,Communist Party of India,93368,CPI
103,104,Gobichettipalayam,Erode,Erode,Tiruppur,73.21,K. Subbarayan,Communist Party of India,93368,CPI
104,105,Bhavanisagar,Erode,Erode,Nilgiris,74.01,A Raja,Dravida Munnetra Kazhagam,205823,DMK
105,106,Dharapuram,Erode,Tiruppur,Erode,73.11,A. Ganesha Murthi,Dravida Munnetra Kazhagam,210618,DMK
106,107,Kangayam,Erode,Tiruppur,Erode,73.11,A. Ganesha Murthi,Dravida Munnetra Kazhagam,210618,DMK
107,108,Avanashi,Tiruppur,Tiruppur,Nilgiris,74.01,A Raja,Dravida Munnetra Kazhagam,205823,DMK
108,109,Tiruppur (North),Tiruppur,Tiruppur,Tiruppur,73.21,K. Subbarayan,Communist Party of India,93368,CPI
109,110,Tiruppur (South),Tiruppur,Tiruppur,Tiruppur,73.21,K. Subbarayan,Communist Party of India,93368,CPI
110,111,Palladam,Tiruppur,Tiruppur,Coimbatore,63.86,P.R. Natarajan,Communist Party of India (Marxist),176918,CPIM
111,112,Udumalaipettai,Tiruppur,Tiruppur,Pollachi,71.15,K. Shamugasundaram,Dravida Munnetra Kazhagam,173359,DMK
112,113,Madathukulam,Tiruppur,Tiruppur,Pollachi,71.15,K. Shamugasundaram,Dravida Munnetra Kazhagam,173359,DMK
113,114,Udhagamandalam,Nilgiris,The Nilgiris,Nilgiris,74.01,A Raja,Dravida Munnetra Kazhagam,205823,DMK
114,115,Coonoor,Nilgiris,The Nilgiris,Nilgiris,74.01,A Raja,Dravida Munnetra Kazhagam,205823,DMK
115,116,Gudalur,Nilgiris,The Nilgiris,Nilgiris,74.01,A Raja,Dravida Munnetra Kazhagam,205823,DMK
116,117,Mettupalayam,Coimbatore,Coimbatore,Nilgiris,74.01,A Raja,Dravida Munnetra Kazhagam,205823,DMK
117,118,Sulur,Coimbatore,Coimbatore,Coimbatore,63.86,P.R. Natarajan,Communist Party of India (Marxist),176918,CPIM
