,AIADMK+,DMK,Others
0,DMDK,DMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,332,192,38
1,346,174,34
2,414,354,52
3,239,334,49
4,265,253,46
5,483,204,34
6,473,205,68
7,623,277,88
8,673,237,77
9,541,425,63
10,368,194,52
11,447,328,66
12,335,260,51
13,542,321,82
14,562,302,98
15,650,385,91
16,536,314,59
17,425,220,25
18,388,224,70
19,536,408,93
20,660,353,73
21,318,164,58
22,483,321,58
23,456,488,55
24,286,218,36
25,438,263,44
26,659,270,80
27,392,309,43
28,188,593,45
29,410,183,68
30,547,413,86
31,605,275,108
32,476,200,79
33,445,284,95
34,483,252,73
35,402,309,42
36,473,239,105
37,587,157,112
38,269,144,38
39,615,224,75
40,392,163,36
41,545,356,71
42,609,308,97
43,637,275,103
44,470,251,79
45,552,247,71
46,561,280,74
47,456,220,51
48,585,281,138
49,394,236,58
50,544,335,86
51,512,256,96
52,649,374,98
53,552,307,53
54,181,126,26
55,454,245,53
56,425,296,49
57,484,459,50
58,456,362,58
59,493,263,33
60,313,137,37
61,554,318,59
62,601,354,108
63,398,331,35
64,454,294,55
65,602,264,55
66,495,419,62
67,299,195,38
68,612,414,65
69,363,258,56
70,474,381,63
71,467,280,47
72,465,386,48
73,257,335,32
74,521,451,63
75,394,260,58
76,464,468,56
77,373,310,48
78,171,358,22
79,372,298,44
80,442,443,61
81,604,457,55
82,399,424,66
83,345,378,43
84,280,237,38
85,281,325,47
86,534,353,72
87,404,460,69
88,395,374,48
89,176,188,18
90,377,484,66
91,307,557,46
92,211,283,34
93,394,284,75
94,307,198,62
95,247,166,60
96,551,304,84
97,541,329,110
98,496,273,93
99,500,280,113
100,426,402,69
101,456,530,43
102,339,296,33
103,470,335,70
104,231,212,48
105,240,220,38
106,291,295,45
107,540,483,77
108,157,191,33
109,329,287,44
110,256,267,46
111,449,536,58
112,464,382,70
113,74,66,10
114,252,424,28
115,117,214,31
116,382,255,51
117,484,361,56
118,306,272,47
119,387,635,47
120,427,404,100
121,308,228,78
122,265,209,34
123,234,180,23
124,252,223,35
125,204,140,28
126,393,856,63
127,57,59,20
128,283,322,51
129,197,195,66
130,362,216,50
131,338,227,95
132,253,168,29
133,279,194,79
134,247,257,48
135,461,373,119
136,427,356,97
137,427,303,89
138,304,277,51
139,352,210,76
140,497,342,72
141,334,151,84
142,342,195,61
143,413,214,63
144,176,78,53
145,514,160,112
146,467,301,80
147,370,156,92
148,676,236,115
149,534,318,83
150,394,361,93
151,295,193,68
152,343,368,77
153,251,164,29
154,348,276,73
155,242,221,46
156,119,411,12
157,376,371,71
158,384,255,59
159,364,191,51
160,379,196,37
161,374,298,56
162,304,149,80
163,273,186,80
164,250,154,54
165,490,279,62
166,509,325,83
167,199,125,42
168,509,329,71
169,531,393,82
170,276,252,55
171,425,302,71
172,471,245,46
173,692,321,67
174,215,237,41
175,317,270,63
176,555,416,69
177,273,210,29
178,318,245,72
179,533,299,69
180,577,255,87
181,507,277,92
182,348,509,54
183,227,433,25
184,345,562,38
185,312,222,62
186,293,730,38
187,244,584,36
188,346,252,47
Total,76012,56295,11577
