,AIADMK+,DMK,Others
0,,DMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,0,273,347
1,0,434,441
2,0,407,419
3,0,382,351
4,0,391,362
5,0,363,317
6,0,428,434
7,0,446,350
8,0,377,379
9,0,356,478
10,0,478,441
11,0,505,473
12,0,566,490
13,0,250,322
14,0,242,496
15,0,235,240
16,0,289,330
17,0,250,370
18,0,441,492
19,0,275,506
20,0,327,413
21,0,244,303
22,0,232,332
23,0,418,626
24,0,431,440
25,0,329,309
26,0,325,410
27,0,447,422
28,0,565,364
29,0,350,246
30,0,323,294
31,0,469,383
32,0,425,448
33,0,431,298
34,0,314,302
35,0,404,377
36,0,484,418
37,0,396,368
38,0,435,448
39,0,327,403
40,0,405,470
41,0,400,360
42,0,325,466
43,0,492,392
44,0,379,330
45,0,306,409
46,0,314,250
47,0,258,201
48,0,275,219
49,0,257,442
50,0,257,329
51,0,319,283
52,0,329,264
53,0,286,222
54,0,275,258
55,0,283,199
56,0,327,296
57,0,354,266
58,0,352,305
59,0,321,479
60,0,362,350
61,0,501,431
62,0,458,410
63,0,196,157
64,0,452,382
65,0,483,463
66,0,253,294
67,0,289,238
68,0,267,308
69,0,172,156
70,0,239,369
71,0,247,325
72,0,333,451
73,0,399,443
74,0,277,348
75,0,242,239
76,0,582,356
77,0,317,328
78,0,262,224
79,0,397,307
80,0,385,307
81,0,485,474
82,0,275,218
83,0,252,239
84,0,482,497
85,0,331,235
86,0,345,183
87,0,540,245
88,0,612,232
89,0,266,335
90,0,200,331
91,0,327,293
92,0,311,437
93,0,210,364
94,0,251,426
95,0,412,214
96,0,410,525
97,0,241,371
98,0,308,343
99,0,236,335
100,0,325,339
101,0,306,387
102,0,292,314
103,0,371,485
104,0,335,671
105,0,255,443
106,0,415,626
107,0,281,539
108,0,574,350
109,0,241,209
110,0,436,148
111,0,427,220
112,0,316,205
113,0,329,316
114,0,321,306
115,0,299,396
116,0,479,475
117,0,336,246
118,0,576,421
119,0,261,325
120,0,268,274
121,0,420,531
122,0,315,310
123,0,243,290
124,0,407,498
125,0,297,374
126,0,343,300
127,0,535,492
128,0,432,321
129,0,299,305
130,0,410,266
131,0,294,412
132,0,229,168
133,0,273,262
134,0,310,256
135,0,230,180
136,0,398,514
137,0,422,527
138,0,397,519
139,0,493,465
140,0,314,419
141,0,570,428
142,0,418,451
143,0,362,404
144,0,555,463
145,0,310,241
146,0,311,245
147,0,340,543
148,0,301,309
149,0,157,440
150,0,185,215
151,0,331,536
152,0,274,434
153,0,434,569
154,0,250,481
155,0,159,320
156,0,230,367
157,0,391,400
158,0,346,588
159,0,348,641
160,0,262,327
161,0,294,334
162,0,450,372
163,0,464,474
164,0,422,389
165,0,252,272
166,0,461,468
167,0,336,412
168,0,355,229
169,0,405,384
170,0,509,340
171,0,473,417
172,0,476,372
173,0,438,420
174,0,328,437
175,0,232,417
176,0,520,656
177,0,231,346
178,0,330,431
179,0,395,528
180,0,365,436
181,0,395,443
182,0,370,538
183,0,277,265
184,0,247,258
185,0,140,277
186,0,277,267
187,0,287,303
188,0,501,692
189,0,431,439
190,0,386,302
191,0,492,352
192,0,414,349
193,0,442,358
194,0,262,289
195,0,350,338
196,0,261,473
197,0,418,554
198,0,251,275
199,0,384,625
200,0,461,509
201,0,357,417
202,0,559,456
203,0,431,450
204,0,471,504
205,0,390,327
206,0,286,331
207,0,553,487
208,0,303,603
209,0,452,710
210,0,258,309
211,0,351,256
212,0,437,424
213,0,350,464
214,0,305,284
215,0,363,574
216,0,483,493
217,0,463,438
218,0,223,277
Total,0,78040,82615
