,AIADMK+,DMK,Others
0,ADMK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,98,335,32
1,213,420,13
2,323,369,30
3,424,211,39
4,537,236,29
5,291,150,13
6,239,390,55
7,466,240,51
8,315,214,32
9,213,222,41
10,284,159,40
11,529,177,47
12,605,125,46
13,174,109,22
14,344,169,22
15,313,88,17
16,324,141,21
17,272,216,22
18,455,105,117
19,294,150,47
20,290,99,37
21,320,255,52
22,443,242,24
23,306,143,30
24,425,342,29
25,438,196,33
26,368,270,46
27,517,256,32
28,503,235,30
29,423,400,42
30,453,195,28
31,327,160,30
32,213,242,39
33,379,236,31
34,456,358,62
35,405,145,19
36,427,172,40
37,557,215,36
38,264,114,17
39,408,110,25
40,617,154,35
41,391,193,26
42,175,135,24
43,441,238,25
44,815,157,54
45,476,111,24
46,417,131,31
47,776,134,99
48,684,163,64
49,485,161,34
50,450,103,25
51,424,107,29
52,571,126,99
53,617,158,101
54,611,242,71
55,281,154,33
56,303,195,27
57,721,235,83
58,800,181,141
59,430,83,29
60,462,223,42
61,538,203,31
62,632,214,43
63,481,204,65
64,399,179,62
65,727,256,99
66,649,247,92
67,492,427,86
68,607,255,45
69,656,204,83
70,589,128,82
71,726,199,106
72,676,250,98
73,567,251,66
74,386,226,32
75,454,151,33
76,259,265,62
77,244,242,45
78,254,265,36
79,564,124,88
80,420,355,59
81,220,240,45
82,344,98,39
83,450,96,71
84,306,260,48
85,541,159,130
86,439,344,56
87,324,184,32
88,500,139,53
89,270,207,32
90,318,286,94
91,473,349,47
92,161,88,55
93,352,62,44
94,161,185,58
95,160,248,33
96,393,407,46
97,172,214,14
98,185,249,24
99,421,158,50
100,270,95,23
101,375,121,38
102,196,292,57
103,378,276,40
104,381,147,29
105,232,220,30
106,238,214,37
107,340,119,48
108,357,335,81
109,377,138,49
110,242,187,188
111,531,61,42
112,219,75,23
113,390,124,32
114,360,99,28
115,340,185,43
116,310,208,15
117,259,343,36
118,308,324,21
119,268,173,36
120,151,195,32
121,194,276,35
122,267,72,19
123,479,343,85
124,342,238,50
125,382,351,59
126,421,225,28
127,365,106,29
128,487,145,39
129,405,297,61
130,305,170,23
131,263,114,18
132,294,155,51
133,317,179,34
134,229,118,29
135,308,147,54
136,549,269,73
137,276,202,16
138,218,161,34
139,198,66,29
140,257,123,39
141,205,137,32
142,222,117,30
143,311,182,41
144,474,250,41
145,260,50,22
146,443,258,46
147,309,162,56
148,313,61,24
149,398,161,38
150,360,87,46
151,202,93,29
152,134,169,23
153,234,181,18
154,314,199,61
155,164,152,12
156,262,198,36
157,177,324,63
158,218,327,27
159,255,246,42
160,332,266,66
161,307,162,34
162,401,364,67
163,317,218,43
164,181,208,28
165,424,381,61
166,366,241,60
167,265,172,24
168,186,212,41
169,136,192,17
170,386,155,56
171,333,155,50
172,356,210,37
173,270,300,52
174,199,112,33
175,487,217,47
176,357,178,82
177,323,155,41
178,317,501,96
179,182,236,24
180,233,242,48
181,207,215,60
182,403,186,57
183,154,226,22
184,232,335,48
185,154,168,16
186,206,179,43
187,129,136,26
188,411,369,78
189,202,447,86
190,253,325,28
191,340,68,35
192,309,99,29
193,358,83,62
194,409,146,61
195,477,172,77
196,244,218,45
197,251,268,33
198,251,289,49
199,277,165,30
200,361,63,41
201,346,227,21
202,279,225,35
203,400,260,50
204,332,251,55
205,155,133,28
206,147,326,43
207,246,132,34
208,445,296,76
209,382,335,89
210,287,335,89
211,226,139,37
212,224,298,45
213,381,200,45
214,370,344,90
215,441,353,101
216,531,92,17
217,518,206,27
218,300,284,163
219,230,130,23
220,262,143,56
221,411,385,65
222,98,184,21
223,261,274,41
224,418,160,76
225,362,455,23
226,293,212,24
227,296,195,24
228,134,122,18
229,306,161,36
230,152,212,10
231,128,227,6
232,154,239,5
233,315,244,58
234,303,195,34
235,78,417,61
236,153,254,29
237,226,156,31
238,234,128,13
239,384,243,86
240,278,88,14
241,180,230,20
242,666,199,49
243,413,145,38
244,261,102,13
245,266,59,25
246,156,418,54
Total,85839,51102,11149
