,AIADMK+,DMK,Others
0,ADMK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,472,141,49
1,806,258,56
2,403,185,39
3,611,269,43
4,891,175,43
5,866,202,43
6,683,149,21
7,308,117,24
8,499,190,25
9,401,103,21
10,712,167,34
11,501,149,32
12,618,186,37
13,667,152,41
14,549,157,21
15,500,167,45
16,598,166,37
17,832,179,48
18,542,236,50
19,795,223,59
20,698,139,38
21,613,188,40
22,535,147,24
23,551,119,22
24,465,94,21
25,493,91,15
26,637,227,30
27,670,211,40
28,646,226,53
29,568,151,42
30,813,168,37
31,609,145,36
32,604,225,29
33,370,125,14
34,538,275,47
35,388,306,23
36,555,296,29
37,670,221,29
38,414,123,25
39,333,83,14
40,581,137,36
41,582,239,46
42,449,444,30
43,709,283,33
44,431,169,26
45,480,160,23
46,319,139,25
47,564,153,21
48,554,214,23
49,638,270,27
50,799,260,31
51,432,330,46
52,727,166,28
53,523,224,41
54,645,169,34
55,325,85,24
56,645,291,48
57,573,298,50
58,818,236,43
59,437,257,53
60,303,195,52
61,556,247,49
62,463,257,44
63,501,242,46
64,329,177,30
65,521,383,65
66,334,260,45
67,341,284,40
68,435,218,20
69,454,351,37
70,408,283,43
71,511,299,30
72,515,318,60
73,238,238,27
74,287,247,20
75,553,385,42
76,537,393,46
77,565,279,54
78,391,253,32
79,699,337,60
80,774,244,60
81,355,230,39
82,297,160,51
83,267,180,22
84,587,345,40
85,225,133,23
86,399,182,33
87,560,430,40
88,339,253,25
89,280,213,31
90,559,304,46
91,570,325,41
92,603,198,35
93,514,214,35
94,706,230,38
95,473,189,65
96,779,201,68
97,592,114,59
98,400,264,35
99,461,222,27
100,584,225,63
101,487,188,42
102,396,221,31
103,386,230,23
104,412,152,14
105,640,203,40
106,450,248,44
107,424,274,22
108,227,127,29
109,409,250,51
110,334,159,30
111,434,160,25
112,274,137,35
113,284,420,40
114,319,165,33
115,655,307,43
116,463,315,58
117,248,354,31
118,451,146,44
119,419,316,63
120,384,248,59
121,344,186,28
122,363,224,26
123,349,155,38
124,339,373,18
125,498,373,43
126,555,340,54
127,429,316,41
128,410,403,33
129,397,414,26
130,525,319,43
131,497,280,42
132,505,305,52
133,400,310,47
134,520,368,54
135,461,592,48
136,515,247,45
137,553,376,47
138,402,183,75
139,400,253,74
140,316,251,63
141,0,0,0
142,281,232,48
143,250,203,38
144,287,177,48
145,475,351,50
146,287,184,32
147,412,257,88
148,346,226,30
149,449,259,91
150,243,144,40
151,434,196,49
152,355,201,35
153,559,326,49
154,322,255,43
155,602,377,44
156,613,242,38
157,450,140,48
158,77,113,12
159,231,381,39
160,492,234,50
161,305,203,33
162,305,180,65
163,469,288,22
164,572,249,49
165,411,333,50
166,358,191,62
167,373,205,41
168,318,212,53
169,656,183,27
170,544,190,50
171,344,254,48
172,326,254,32
173,646,309,65
174,514,402,46
175,343,284,44
176,380,267,34
177,363,253,48
178,477,280,51
179,491,233,39
180,226,186,26
181,515,291,72
182,382,213,54
183,503,173,49
184,442,267,36
185,578,120,24
186,628,184,29
187,544,167,41
188,643,98,40
Total,90615,44012,7538
