,AIADMK+,DMK,Others
0,ADMK,,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,375,0,208
1,291,0,244
2,483,0,333
3,465,0,333
4,408,0,196
5,634,0,268
6,262,0,147
7,533,0,296
8,293,0,339
9,421,0,386
10,511,0,288
11,279,0,242
12,320,0,133
13,504,0,278
14,364,0,354
15,221,0,240
16,618,0,479
17,438,0,295
18,317,0,124
19,344,0,211
20,341,0,196
21,366,0,250
22,387,0,272
23,286,0,170
24,514,0,117
25,600,0,76
26,393,0,76
27,276,0,213
28,499,0,72
29,479,0,74
30,416,0,253
31,296,0,197
32,369,0,254
33,259,0,336
34,489,0,381
35,208,0,193
36,178,0,143
37,380,0,269
38,569,0,336
39,492,0,276
40,363,0,239
41,269,0,252
42,493,0,257
43,202,0,113
44,662,0,234
45,452,0,444
46,611,0,383
47,560,0,216
48,452,0,308
49,224,0,177
50,248,0,249
51,166,0,153
52,231,0,150
53,346,0,224
54,283,0,184
55,288,0,257
56,354,0,266
57,275,0,243
58,282,0,273
59,537,0,214
60,317,0,141
61,524,0,273
62,247,0,170
63,387,0,198
64,279,0,271
65,611,0,372
66,365,0,124
67,413,0,365
68,411,0,198
69,456,0,324
70,169,0,212
71,534,0,217
72,346,0,86
73,619,0,303
74,438,0,312
75,359,0,114
76,528,0,279
77,563,0,318
78,347,0,237
79,6,0,62
80,196,0,323
81,98,0,138
82,773,0,226
83,398,0,534
84,412,0,366
85,377,0,180
86,313,0,114
87,620,0,192
88,454,0,268
89,407,0,191
90,362,0,359
91,588,0,294
92,473,0,295
93,327,0,357
94,269,0,279
95,461,0,285
96,299,0,269
97,344,0,364
98,673,0,269
99,701,0,343
100,517,0,443
101,378,0,392
102,449,0,311
103,384,0,208
104,411,0,337
105,513,0,298
106,499,0,395
107,422,0,295
108,413,0,500
109,445,0,154
110,166,0,172
111,301,0,151
112,291,0,436
113,436,0,422
114,411,0,176
115,334,0,218
116,548,0,230
117,522,0,242
118,507,0,214
119,656,0,114
120,121,0,186
121,340,0,186
122,324,0,246
123,269,0,158
124,122,0,146
125,315,0,341
126,352,0,302
127,677,0,357
128,353,0,332
129,356,0,423
130,425,0,347
131,381,0,308
132,490,0,247
133,515,0,379
134,391,0,382
135,368,0,265
136,533,0,265
137,290,0,223
138,319,0,213
139,322,0,350
140,561,0,315
141,241,0,143
142,279,0,100
143,408,0,319
144,301,0,154
145,742,0,371
146,343,0,220
147,400,0,229
148,436,0,286
149,495,0,262
150,476,0,472
151,537,0,441
152,187,0,304
153,241,0,191
154,644,0,377
155,570,0,395
156,300,0,191
157,380,0,359
158,437,0,353
159,351,0,355
160,278,0,243
161,422,0,161
162,506,0,358
163,558,0,496
164,345,0,282
165,543,0,438
166,369,0,234
167,412,0,217
168,714,0,275
169,388,0,129
170,381,0,204
171,490,0,229
172,298,0,284
173,399,0,156
174,470,0,191
175,441,0,162
176,612,0,395
177,409,0,401
178,595,0,380
179,221,0,217
180,417,0,494
181,529,0,335
182,205,0,129
183,388,0,237
184,456,0,221
185,454,0,261
186,442,0,454
187,614,0,395
188,381,0,220
189,399,0,245
190,444,0,289
191,295,0,234
192,475,0,215
193,452,0,251
194,446,0,243
195,441,0,177
196,382,0,163
197,441,0,261
198,593,0,397
199,595,0,279
200,715,0,304
201,646,0,275
202,695,0,287
203,397,0,516
204,538,0,214
205,350,0,284
206,606,0,209
207,463,0,297
208,433,0,300
209,335,0,394
210,633,0,121
211,424,0,377
212,319,0,203
213,526,0,216
214,459,0,303
215,328,0,182
216,469,0,497
217,359,0,256
218,401,0,381
219,486,0,419
220,547,0,307
221,526,0,281
222,603,0,464
223,524,0,270
224,230,0,332
225,256,0,257
226,306,0,249
227,419,0,348
228,377,0,207
229,405,0,258
230,363,0,144
231,332,0,531
232,431,0,152
233,237,0,531
234,722,0,334
235,347,0,154
236,433,0,193
237,350,0,306
238,399,0,286
239,543,0,283
240,361,0,148
241,330,0,204
242,374,0,193
243,387,0,254
244,222,0,135
245,370,0,240
246,413,0,299
247,162,0,286
248,464,0,180
249,606,0,303
250,252,0,227
251,500,0,346
252,520,0,400
253,404,0,305
254,500,0,294
255,459,0,238
256,267,0,192
257,265,0,384
258,328,0,352
259,440,0,568
260,327,0,426
261,215,0,181
262,365,0,249
263,291,0,347
264,288,0,239
265,553,0,209
266,514,0,277
267,424,0,315
268,441,0,231
269,464,0,427
270,289,0,176
271,236,0,436
272,272,0,326
273,436,0,230
274,587,0,307
275,459,0,301
276,506,0,474
277,336,0,312
278,481,0,299
Total,114575,0,75991
