,AIADMK+,DMK,Others
0,"['MAMAK', 'RPI']",DMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,321,564,29
1,275,624,24
2,176,314,12
3,124,361,10
4,309,441,28
5,351,550,32
6,385,446,29
7,244,264,31
8,209,256,37
9,304,283,26
10,262,284,35
11,391,294,56
12,350,326,68
13,337,347,63
14,228,272,29
15,235,271,41
16,193,270,38
17,414,493,59
18,295,348,52
19,180,297,24
20,313,454,58
21,364,401,45
22,296,420,68
23,355,379,56
24,326,381,48
25,295,375,42
26,349,321,35
27,514,455,44
28,335,208,28
29,368,300,34
30,271,358,42
31,419,324,66
32,279,249,56
33,366,338,59
34,151,370,9
35,95,360,45
36,396,355,56
37,398,323,69
38,340,399,50
39,236,275,28
40,260,335,26
41,258,216,25
42,205,163,32
43,376,285,60
44,402,375,38
45,408,394,44
46,251,306,17
47,257,284,23
48,346,416,60
49,317,366,61
50,405,312,71
51,429,408,27
52,385,341,45
53,297,363,42
54,358,335,35
55,352,315,40
56,267,205,49
57,291,308,80
58,437,333,81
59,369,380,47
60,272,317,123
61,406,406,77
62,241,200,59
63,315,424,47
64,357,367,79
65,360,462,59
66,180,310,31
67,155,343,32
68,265,376,57
69,301,603,42
70,218,340,21
71,330,607,34
72,301,376,69
73,304,334,40
74,202,462,26
75,145,609,21
76,204,376,36
77,280,228,116
78,409,300,104
79,333,557,58
80,47,842,27
81,40,666,15
82,45,750,8
83,335,152,129
84,257,152,121
85,261,235,80
86,230,221,77
87,340,110,153
88,292,105,123
89,391,203,159
90,317,279,52
91,347,246,122
92,274,245,118
93,316,295,85
94,344,155,171
95,280,387,90
96,271,389,134
97,199,222,44
98,325,280,73
99,286,248,88
100,260,279,134
101,328,280,103
102,280,266,84
103,282,369,35
104,248,351,32
105,195,286,33
106,301,466,71
107,367,393,47
108,226,244,24
109,278,400,42
110,329,346,76
111,224,364,66
112,317,291,73
113,284,354,34
114,211,218,20
115,322,218,21
116,332,336,31
117,421,439,62
118,316,317,25
119,265,333,40
120,447,449,50
121,425,388,48
122,346,341,74
123,426,371,39
124,373,462,19
125,391,368,42
126,307,387,20
127,355,405,43
128,156,485,81
129,337,478,52
130,320,416,45
131,321,361,43
132,282,404,44
133,354,317,41
134,247,282,9
135,177,359,21
136,230,307,18
137,182,369,22
138,404,380,33
139,347,385,25
140,251,324,43
141,215,270,51
142,201,329,40
143,326,249,55
144,281,245,50
145,199,278,68
146,313,323,76
147,278,246,95
148,266,311,45
149,238,436,70
150,238,363,104
151,148,310,38
152,348,271,175
153,369,339,95
154,329,146,157
155,229,196,146
156,225,207,85
157,340,280,165
158,411,297,29
159,446,385,49
160,344,648,83
161,437,374,62
162,458,430,43
163,306,329,46
164,352,323,63
165,150,241,25
166,183,341,37
167,344,392,66
168,376,384,55
169,141,199,31
170,385,387,71
171,296,181,29
172,282,195,50
173,481,382,42
174,395,478,59
175,309,331,32
176,263,395,75
177,164,666,32
178,285,655,57
179,483,424,64
180,397,322,36
181,379,337,71
182,408,361,65
183,371,316,61
Total,55347,64129,10277
