,AIADMK+,DMK,Others
0,"['RPI', 'DMDK']",PMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,659,192,26
1,319,289,42
2,217,415,51
3,609,236,58
4,396,205,38
5,410,155,53
6,535,383,65
7,551,472,67
8,645,162,63
9,420,239,26
10,683,255,71
11,481,362,59
12,517,414,56
13,402,181,20
14,540,284,32
15,143,700,15
16,342,250,35
17,321,115,38
18,232,386,36
19,437,500,110
20,378,551,80
21,392,525,71
22,428,382,55
23,587,357,129
24,401,290,62
25,304,302,50
26,186,459,72
27,466,310,67
28,297,313,22
29,223,462,31
30,224,347,30
31,481,452,48
32,175,320,17
33,354,282,41
34,474,492,56
35,274,526,52
36,273,464,33
37,528,232,56
38,336,108,12
39,416,168,45
40,536,147,39
41,489,266,48
42,487,321,43
43,526,264,35
44,473,304,37
45,448,309,82
46,488,311,32
47,316,208,23
48,372,202,49
49,318,385,43
50,330,277,22
51,391,285,53
52,650,384,45
53,438,242,21
54,446,273,38
55,465,349,79
56,429,287,79
57,410,157,80
58,489,118,58
59,470,412,69
60,435,109,46
61,592,200,51
62,699,174,67
63,419,366,38
64,298,294,18
65,363,183,22
66,615,225,29
67,536,510,45
68,206,364,24
69,323,407,68
70,237,415,64
71,304,371,34
72,337,467,35
73,269,82,24
74,603,269,44
75,332,242,61
76,386,208,51
77,550,398,33
78,268,265,30
79,541,295,52
80,437,537,50
81,523,323,44
82,649,233,61
83,542,182,25
84,550,305,31
85,325,147,17
86,282,207,29
87,640,309,31
88,494,151,21
89,572,223,28
90,650,291,44
91,352,149,22
92,381,177,19
93,431,259,21
94,498,139,53
95,456,175,16
96,403,167,44
97,305,293,47
98,274,189,29
99,300,646,61
100,219,487,50
101,238,186,31
102,164,159,35
103,485,289,49
104,269,135,23
105,351,336,56
106,164,264,33
107,256,205,39
108,293,229,30
109,489,513,60
110,485,172,54
111,675,179,58
112,511,329,47
113,452,196,38
114,100,618,48
115,299,286,30
116,409,482,51
117,255,135,28
118,400,397,62
119,545,298,29
120,410,296,35
121,244,407,35
122,384,198,28
123,425,137,24
124,441,352,57
125,528,241,37
126,347,167,22
127,455,187,37
128,528,352,51
129,629,318,66
130,467,306,56
131,472,294,40
132,465,444,62
133,544,306,55
134,331,254,38
135,331,266,25
136,367,274,38
137,316,336,59
138,476,284,48
139,238,272,30
140,359,171,33
141,460,140,39
142,347,326,94
143,441,209,57
144,373,268,80
145,454,247,83
146,402,238,75
147,248,343,30
148,390,308,69
149,383,268,87
150,589,323,59
151,334,433,43
152,295,259,14
153,318,261,23
154,588,408,48
155,438,405,60
156,294,226,30
157,328,277,57
158,525,253,61
159,340,217,51
160,327,472,73
161,429,229,35
162,308,184,33
163,382,432,65
164,489,325,53
165,304,162,27
166,308,460,60
167,349,207,44
168,562,367,49
169,451,188,65
170,423,326,55
171,395,238,42
172,237,260,22
173,220,259,71
174,277,207,19
175,255,194,59
176,587,439,64
177,323,379,36
178,337,145,47
179,443,423,60
180,306,173,35
181,421,182,58
182,287,131,15
183,499,218,49
184,661,154,94
185,612,386,37
186,546,272,93
187,421,472,96
188,409,494,104
189,502,210,82
190,349,146,38
191,516,366,64
192,198,92,16
193,289,175,52
194,416,188,85
195,405,308,43
196,436,174,39
197,377,310,41
198,350,647,59
199,244,167,20
200,189,174,17
201,453,246,65
202,276,96,27
203,714,153,182
204,399,339,40
205,264,85,27
206,547,220,77
207,406,327,93
208,501,250,92
209,345,188,47
210,306,184,37
211,421,275,69
212,380,235,74
213,555,312,96
214,415,143,53
215,521,160,27
216,307,268,35
217,308,191,61
218,221,271,91
219,347,267,49
220,462,275,39
221,308,171,46
222,354,172,36
223,386,239,29
224,274,132,20
225,263,130,50
226,340,129,91
227,504,273,46
228,529,125,83
229,278,175,78
230,426,258,93
231,313,156,44
232,461,154,57
233,484,196,100
234,469,240,52
235,353,182,72
236,273,169,20
237,383,180,80
238,474,332,93
239,302,287,74
240,474,349,76
241,455,443,97
242,445,300,77
243,586,418,126
Total,98888,68180,12218
