,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,,"['BJP', 'IJK']",,,"['BJP', 'AIADMK', 'BSP', 'DMK', 'IJK', 'JMM', 'INDEPENDENT']"
0,347,381,0,9,0,0,30
1,202,152,0,5,0,0,19
2,372,201,0,10,0,0,32
3,263,254,0,15,0,0,13
4,307,278,0,3,0,0,16
5,315,396,0,8,0,0,18
6,149,602,0,4,0,0,11
7,56,405,0,1,0,0,5
8,323,518,0,18,0,0,25
9,282,439,0,11,0,0,19
10,191,299,0,2,0,0,9
11,429,407,0,10,0,0,42
12,105,305,0,4,0,0,4
13,383,278,0,9,0,0,17
14,254,520,0,8,0,0,25
15,359,522,0,1,0,0,23
16,360,218,0,13,0,0,21
17,527,434,0,7,0,0,20
18,554,176,0,7,0,0,6
19,390,192,0,11,0,0,11
20,408,490,0,12,0,0,26
21,553,360,0,3,0,0,34
22,446,491,0,15,0,0,30
23,643,434,0,9,0,0,33
24,343,276,0,8,0,0,28
25,322,211,0,4,0,0,17
26,540,267,0,5,0,0,28
27,405,353,0,7,0,0,20
28,364,464,0,7,0,0,16
29,631,294,0,17,0,0,31
30,438,292,0,7,0,0,20
31,419,214,0,24,0,0,19
32,345,240,0,32,0,0,15
33,461,282,0,22,0,0,34
34,202,254,0,10,0,0,11
35,307,269,0,20,0,0,23
36,338,332,0,22,0,0,20
37,357,385,0,38,0,0,16
38,320,482,0,27,0,0,22
39,468,457,0,23,0,0,24
40,424,459,0,40,0,0,22
41,389,340,0,22,0,0,13
42,343,253,0,15,0,0,14
43,411,524,0,24,0,0,25
44,370,445,0,40,0,0,36
45,264,272,0,18,0,0,10
46,242,181,0,32,0,0,14
47,414,332,0,15,0,0,26
48,612,433,0,19,0,0,39
49,375,411,0,17,0,0,19
50,389,406,0,29,0,0,33
51,484,448,0,23,0,0,27
52,521,385,0,34,0,0,40
53,381,314,0,34,0,0,24
54,471,362,0,58,0,0,26
55,541,394,0,36,0,0,31
56,339,322,0,26,0,0,23
57,225,277,0,28,0,0,17
58,529,523,0,24,0,0,41
59,473,411,0,23,0,0,37
60,296,351,0,13,0,0,23
61,522,279,0,9,0,0,25
62,562,328,0,10,0,0,21
63,378,204,0,9,0,0,19
64,554,419,0,14,0,0,48
65,407,455,0,7,0,0,29
66,542,289,0,12,0,0,31
