,AIADMK+,DMK,Others
0,ADMK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,498,314,24
1,536,211,34
2,674,256,64
3,659,194,40
4,585,244,39
5,485,252,16
6,321,90,14
7,455,313,34
8,659,167,84
9,468,94,39
10,495,258,59
11,298,145,32
12,393,155,20
13,273,275,63
14,375,296,25
15,178,144,23
16,400,170,61
17,600,262,34
18,281,230,32
19,406,185,26
20,416,187,31
21,431,160,23
22,271,132,36
23,524,231,50
24,642,295,71
25,623,275,38
26,650,307,51
27,456,209,51
28,453,130,27
29,533,237,34
30,300,185,28
31,562,212,56
32,403,129,26
33,251,150,25
34,336,88,56
35,616,279,63
36,538,331,41
37,612,216,76
38,359,258,39
39,364,254,28
40,527,427,31
41,235,214,19
42,352,293,38
43,519,353,28
44,523,385,61
45,292,139,14
46,304,208,35
47,367,226,37
48,602,302,46
49,361,246,99
50,348,166,55
51,662,364,57
52,489,285,82
53,394,263,22
54,308,133,18
55,672,348,42
56,520,244,45
57,401,224,18
58,725,312,38
59,495,299,30
60,741,349,32
61,673,291,43
62,467,197,26
63,467,217,23
64,696,278,38
65,462,145,24
66,441,228,22
67,593,242,24
68,394,215,10
69,447,193,17
70,575,466,45
71,568,352,28
72,482,315,31
73,718,327,42
74,705,406,46
75,493,217,14
76,518,215,29
77,390,235,15
78,388,175,19
79,644,265,34
80,355,147,16
81,798,342,32
82,103,48,4
83,439,156,31
84,425,198,24
85,592,185,32
86,377,233,26
87,647,240,65
88,838,332,37
89,727,346,50
90,625,366,43
91,484,522,26
92,734,287,43
93,564,291,43
94,544,296,31
95,709,336,59
96,634,382,76
97,620,298,50
98,348,223,26
99,450,240,27
100,361,177,15
101,420,165,9
102,466,159,40
103,490,247,53
104,540,283,59
105,470,236,29
106,550,250,24
107,520,174,19
108,341,120,18
109,312,157,21
110,387,196,31
111,384,203,28
112,518,165,43
113,505,230,31
114,398,200,26
115,262,172,13
116,543,325,33
117,532,283,30
118,472,301,51
119,340,159,23
120,453,254,18
121,296,455,23
122,345,362,23
123,449,253,47
124,417,312,44
125,463,351,42
126,446,314,21
127,388,249,29
128,413,322,52
129,544,407,45
130,402,404,21
131,226,145,28
132,267,188,28
133,258,251,37
134,351,220,24
135,605,410,44
136,279,159,22
137,729,384,38
138,548,322,42
139,466,269,32
140,470,250,38
141,551,308,33
142,565,364,31
143,555,387,35
144,496,244,28
145,285,166,15
146,448,339,41
147,446,401,51
148,388,295,28
149,488,449,47
150,314,291,34
151,473,537,31
152,408,325,15
153,614,335,35
154,542,527,25
155,252,165,11
156,450,312,29
157,574,354,34
158,360,226,46
159,268,242,26
160,369,203,20
161,436,208,19
162,289,200,20
163,447,284,44
164,570,343,30
165,225,190,19
166,639,404,39
167,380,352,29
168,351,351,40
169,413,251,41
170,590,413,94
171,494,227,38
172,477,293,48
173,271,175,20
174,654,349,53
175,370,225,39
176,493,306,32
177,420,279,12
178,353,265,29
179,325,296,58
180,436,238,52
181,295,144,20
182,287,227,45
183,410,169,39
184,643,393,48
185,748,331,49
186,380,191,27
187,442,332,39
188,336,233,26
189,514,211,27
190,349,194,18
191,331,182,27
192,560,384,57
193,267,162,23
194,545,394,67
195,639,357,52
196,448,443,54
197,357,471,44
198,377,187,68
199,611,264,41
200,543,247,33
201,430,155,34
202,292,181,60
203,610,206,46
204,568,256,43
205,676,207,52
206,434,187,34
207,516,171,34
208,438,205,22
209,702,225,47
210,752,327,74
211,546,253,33
Total,99501,55238,7679
