,AIADMK+,DMK,Others
0,DMDK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,380,160,45
1,459,277,70
2,382,326,93
3,320,276,99
4,423,420,47
5,170,254,32
6,260,148,20
7,417,275,41
8,189,312,59
9,349,466,117
10,421,182,162
11,231,47,93
12,345,300,70
13,314,224,67
14,275,150,62
15,324,203,93
16,434,365,188
17,460,181,73
18,360,273,77
19,274,214,22
20,316,247,71
21,484,283,73
22,318,291,87
23,512,205,86
24,260,567,23
25,239,362,6
26,400,243,27
27,464,301,116
28,404,274,60
29,381,269,54
30,327,159,47
31,620,170,74
32,386,113,64
33,578,5,7
34,361,273,87
35,473,268,111
36,287,191,137
37,458,342,52
38,233,214,86
39,282,282,20
40,275,264,56
41,576,522,31
42,353,511,27
43,395,516,20
44,235,305,7
45,219,304,39
46,432,689,34
47,296,422,24
48,285,283,36
49,335,364,19
50,426,560,34
51,360,614,38
52,304,334,47
53,373,206,159
54,408,228,84
55,358,180,88
56,376,168,138
57,95,238,48
58,422,284,86
59,93,292,33
60,212,357,46
61,289,179,28
62,412,230,77
63,300,178,121
64,377,131,216
65,427,336,84
66,375,270,17
67,328,310,21
68,497,276,59
69,508,197,64
70,284,250,42
71,335,373,59
72,323,255,42
73,485,182,83
74,194,158,79
75,214,162,39
76,452,378,110
77,398,361,68
78,400,168,59
79,227,134,45
80,439,309,177
81,270,329,89
82,282,253,52
83,225,324,36
84,342,272,37
85,260,191,33
86,446,298,67
87,408,542,31
88,335,456,24
89,335,212,20
90,391,285,39
91,253,291,22
92,480,495,35
93,439,256,104
94,400,278,79
95,196,367,108
96,234,165,73
97,388,262,94
98,395,555,52
99,381,378,41
100,290,317,46
101,278,213,60
102,293,154,133
103,215,219,128
104,279,198,63
105,323,265,87
106,396,367,121
107,221,330,82
108,285,344,112
109,162,205,30
110,332,353,47
111,303,318,26
112,316,360,20
113,334,183,73
114,423,211,33
115,309,286,38
116,274,192,23
117,295,381,48
118,342,161,60
119,265,240,34
120,408,323,40
121,277,177,16
122,322,201,51
123,375,457,113
124,288,338,79
125,432,107,24
126,395,161,28
127,665,308,106
128,333,252,60
129,403,313,64
130,351,166,38
131,408,287,169
132,278,134,53
133,233,248,106
134,324,345,11
135,211,184,64
136,186,357,83
137,463,404,95
138,287,298,36
139,346,159,177
140,153,284,17
141,525,392,62
142,324,552,54
143,318,472,126
144,339,207,95
145,391,384,38
146,388,255,151
147,306,268,60
148,219,183,28
149,259,240,51
150,377,220,43
151,394,401,87
152,170,239,15
153,283,214,86
154,347,277,62
155,235,199,32
156,564,279,160
157,433,201,225
158,485,357,62
159,317,301,40
160,299,290,50
161,177,258,25
162,266,300,73
163,284,205,147
164,159,230,73
165,228,234,79
166,385,230,111
167,511,257,160
168,515,267,142
169,323,37,220
170,359,571,66
171,429,260,74
172,294,211,50
173,259,364,22
174,334,357,52
175,319,381,27
176,308,200,47
177,352,299,60
178,334,335,57
179,329,207,83
180,275,197,57
181,627,264,124
182,336,286,95
183,431,155,132
184,439,75,128
185,452,226,71
186,371,223,118
187,335,131,24
188,344,113,54
189,382,190,164
190,255,219,118
191,238,106,62
192,194,94,297
193,119,71,312
194,221,87,65
195,207,374,44
196,450,438,89
197,157,219,86
198,327,225,145
199,376,148,145
200,368,198,114
201,415,200,382
202,326,109,87
203,242,139,50
204,531,228,125
205,466,319,238
206,409,140,187
207,173,113,441
208,504,115,91
209,340,191,211
210,237,316,63
211,301,240,60
212,615,290,116
213,392,143,66
214,313,146,123
215,234,162,83
216,212,198,95
217,70,38,346
218,730,197,101
219,232,78,116
220,312,171,101
221,367,109,156
222,464,286,74
223,479,206,164
224,234,105,68
225,323,195,69
226,222,186,50
227,240,91,400
228,510,176,81
229,567,367,76
230,335,91,96
231,412,186,52
232,303,149,99
233,152,141,47
234,532,218,101
235,172,86,40
236,249,269,267
237,305,67,87
238,453,229,310
239,508,398,55
240,572,441,54
241,470,400,255
242,343,348,65
243,580,413,82
244,468,339,63
245,560,304,94
246,501,366,89
247,218,162,58
248,302,231,32
249,525,411,139
250,296,144,32
251,455,222,45
252,370,175,59
253,476,315,42
254,330,238,48
255,494,327,82
256,599,409,139
257,661,393,126
258,464,466,72
259,431,297,73
260,291,159,69
261,283,204,63
262,196,204,57
263,339,259,103
264,422,203,440
265,268,80,229
266,251,103,146
267,623,307,91
268,171,109,100
269,151,81,142
270,519,380,48
271,632,420,74
272,436,292,66
Total,95815,71062,23322
