,AIADMK+,DMK,Others
0,DMDK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,182,222,39
1,113,238,47
2,272,269,74
3,195,189,57
4,227,305,45
5,243,190,33
6,238,273,179
7,205,208,68
8,213,128,38
9,185,142,54
10,404,314,105
11,463,268,82
12,293,268,54
13,99,210,15
14,70,205,24
15,121,279,32
16,345,234,53
17,258,266,43
18,355,196,55
19,472,249,76
20,207,245,41
21,577,147,113
22,282,153,68
23,506,433,102
24,501,191,95
25,308,223,51
26,301,174,44
27,273,145,63
28,301,212,79
29,272,219,45
30,256,223,56
31,398,368,95
32,350,280,61
33,364,255,47
34,464,340,71
35,446,283,77
36,315,152,31
37,282,129,51
38,506,253,79
39,484,400,89
40,567,298,106
41,366,249,55
42,576,444,104
43,241,251,56
44,292,259,67
45,528,263,83
46,323,415,81
47,293,304,60
48,453,404,110
49,298,368,62
50,469,377,78
51,297,261,59
52,310,245,66
53,341,285,59
54,396,228,55
55,340,228,51
56,379,257,87
57,400,270,56
58,182,218,25
59,172,279,40
60,366,360,58
61,287,229,39
62,245,232,64
63,314,280,51
64,328,334,60
65,221,206,28
66,231,223,62
67,219,189,41
68,207,291,72
69,235,238,39
70,199,289,42
71,167,243,25
72,126,264,23
73,394,393,64
74,284,359,40
75,345,284,70
76,260,208,42
77,208,214,63
78,175,123,14
79,168,153,34
80,469,387,41
81,231,166,40
82,359,232,75
83,363,205,45
84,304,411,33
85,418,276,72
86,404,233,80
87,349,137,90
88,192,199,33
89,314,189,64
90,448,240,68
91,241,142,28
92,216,160,45
93,251,188,35
94,204,173,37
95,352,249,62
96,323,178,65
97,346,186,36
98,319,213,51
99,396,234,66
100,400,259,33
101,505,344,70
102,254,176,24
103,212,204,37
104,342,285,26
105,284,290,34
106,226,201,31
107,179,231,25
108,315,234,34
109,328,232,45
110,265,136,34
111,221,152,29
112,302,147,47
113,244,164,51
114,422,218,75
115,337,489,59
116,253,203,40
117,223,237,25
118,434,211,39
119,320,191,42
120,515,344,82
121,313,212,49
122,392,363,43
123,311,268,76
124,267,178,57
125,238,254,35
126,444,251,62
127,434,310,41
128,409,331,42
129,242,191,40
130,539,323,84
131,298,174,43
132,199,145,48
133,234,139,50
134,538,317,88
135,608,294,78
136,290,288,55
137,238,253,44
138,280,209,37
139,191,206,47
140,286,128,39
141,309,379,33
142,334,204,40
143,396,129,56
144,599,298,106
145,527,245,97
146,389,198,68
147,291,210,29
148,214,179,35
149,281,192,45
150,255,170,48
151,214,145,52
152,193,182,21
153,156,153,37
154,274,69,22
155,247,53,33
156,423,151,78
157,377,107,42
158,344,92,52
159,522,140,85
160,314,412,52
161,481,201,52
162,305,184,22
163,244,232,41
164,269,154,30
165,370,249,23
166,355,317,37
167,327,280,30
168,338,186,43
169,355,333,58
170,440,282,45
171,477,348,71
172,335,380,58
173,351,260,50
174,490,270,80
175,326,189,45
176,344,146,70
177,392,390,94
178,424,231,56
179,278,164,46
180,442,314,58
181,280,150,34
182,304,318,36
183,421,319,40
184,364,273,63
185,252,161,39
186,454,157,99
187,378,120,62
188,316,132,72
189,327,144,73
190,564,232,134
191,419,300,71
192,301,158,47
193,278,151,46
194,527,218,72
195,366,135,60
196,571,282,74
197,291,147,40
198,392,232,39
199,288,132,26
200,260,155,40
201,509,305,74
202,353,160,32
203,289,160,45
204,265,177,33
205,242,167,54
206,253,177,77
207,416,222,91
208,297,226,33
209,258,242,44
210,479,266,109
211,376,216,49
212,400,233,53
213,366,246,56
214,263,137,32
215,273,138,36
216,246,145,60
217,391,167,30
218,466,176,74
219,313,169,48
220,374,165,64
221,426,208,67
222,382,176,68
223,415,217,57
224,344,148,29
225,311,173,60
226,538,271,64
227,398,206,69
228,327,191,43
229,452,200,76
230,618,269,82
231,395,129,43
232,397,122,59
233,535,274,58
234,339,189,36
235,328,181,57
236,317,168,26
237,310,147,41
238,528,156,74
239,604,242,67
240,641,267,119
241,352,149,70
242,573,246,111
243,466,221,103
244,271,213,44
245,529,183,95
246,462,246,63
247,385,143,78
248,347,299,65
249,352,314,68
250,334,193,75
251,552,329,54
252,456,188,100
253,330,156,56
254,426,214,73
255,397,182,107
256,507,303,134
257,458,179,92
258,449,161,63
Total,88814,59154,14775
