,AIADMK+,DMK,Others
0,ADMK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,154,71,30
1,496,268,77
2,287,128,46
3,409,219,55
4,373,108,46
5,317,153,38
6,387,162,29
7,525,175,48
8,352,191,50
9,150,72,25
10,451,236,50
11,336,211,44
12,316,90,30
13,305,145,19
14,425,210,67
15,422,226,38
16,461,227,42
17,596,290,51
18,367,153,25
19,533,323,68
20,435,262,24
21,400,145,66
22,417,188,66
23,310,177,19
24,303,163,27
25,464,251,54
26,400,189,51
27,315,184,28
28,369,260,27
29,619,219,45
30,586,119,50
31,392,159,28
32,379,156,51
33,579,256,48
34,408,115,57
35,594,182,48
36,470,115,78
37,696,181,75
38,343,216,30
39,292,114,12
40,330,235,22
41,304,110,27
42,295,109,24
43,479,263,56
44,340,93,26
45,343,97,39
46,441,269,52
47,422,270,28
48,256,197,12
49,222,94,20
50,506,295,68
51,99,88,22
52,244,150,39
53,341,193,48
54,535,253,75
55,382,215,64
56,499,262,61
57,500,320,38
58,378,170,30
59,364,257,39
60,312,133,13
61,310,167,33
62,415,164,41
63,121,201,29
64,482,204,37
65,512,346,50
66,200,67,42
67,311,262,27
68,398,240,69
69,559,162,27
70,608,193,57
71,555,232,22
72,582,220,47
73,330,186,28
74,290,85,29
75,265,154,19
76,644,143,45
77,461,177,64
78,459,318,72
79,279,242,33
80,186,145,13
81,401,352,32
82,224,141,24
83,381,271,43
84,329,157,50
85,407,349,78
86,245,221,53
87,510,321,72
88,192,162,10
89,317,224,34
90,263,103,27
91,301,221,47
92,575,274,54
93,411,248,49
94,220,149,24
95,179,127,20
96,504,123,163
97,168,119,29
98,352,123,58
99,537,181,37
100,393,192,24
101,217,144,17
102,228,67,15
103,468,289,39
104,538,286,65
105,293,202,37
106,278,262,44
107,210,125,21
108,265,173,32
109,377,263,50
110,224,122,39
111,427,349,58
112,288,171,27
113,276,195,23
114,326,167,32
115,377,167,25
116,228,249,35
117,289,142,76
118,388,171,27
119,338,297,46
120,174,153,23
121,179,245,14
122,402,231,32
123,379,150,21
124,428,296,28
125,391,144,11
126,360,260,32
127,320,162,14
128,431,189,16
129,493,254,28
130,386,134,28
131,193,275,21
132,382,144,23
133,370,119,22
134,561,285,43
135,333,201,18
136,435,178,40
137,254,182,32
138,639,190,75
139,388,212,17
140,216,119,36
141,493,273,41
142,450,204,41
143,350,262,44
144,280,245,31
145,422,246,31
146,401,177,36
147,413,367,33
148,251,207,14
149,337,267,22
150,326,295,37
151,431,314,34
152,362,238,40
153,531,290,37
154,594,262,48
155,368,160,37
156,221,223,19
157,318,151,32
158,525,315,63
159,337,288,49
160,356,118,27
161,617,246,61
162,648,134,62
163,267,207,36
164,373,162,33
165,710,137,43
166,323,341,35
167,276,130,29
168,633,277,27
169,485,121,19
170,113,289,18
171,221,493,19
172,597,199,29
173,399,157,83
174,266,89,61
175,420,197,32
176,419,208,24
177,386,200,46
178,400,104,32
179,312,128,41
180,507,310,64
181,634,175,80
182,493,288,105
183,406,223,29
184,274,151,30
185,330,273,36
186,478,129,80
187,296,158,31
188,404,257,32
189,469,303,47
190,276,155,31
191,414,198,36
192,423,135,32
193,361,113,44
194,739,221,64
195,404,155,32
196,359,102,73
197,582,256,61
198,512,170,29
199,366,224,34
200,323,204,19
201,322,152,19
202,564,297,47
203,504,273,77
204,282,135,18
205,345,277,53
206,465,263,67
207,446,264,77
208,444,228,24
209,269,112,6
210,568,141,36
211,504,155,43
212,606,287,39
213,279,321,24
214,252,111,22
215,379,301,41
216,280,320,29
217,362,165,60
218,503,245,65
219,298,180,30
220,648,183,43
221,679,106,41
222,376,306,32
223,541,152,38
224,578,211,44
225,732,181,44
226,402,145,50
227,352,108,28
228,252,97,12
229,500,251,70
230,132,139,10
231,431,329,35
232,261,346,27
233,406,150,21
234,284,232,22
235,446,173,47
236,364,205,34
237,388,225,37
238,444,249,30
239,358,178,24
240,249,136,37
241,367,203,52
242,637,279,52
243,388,139,23
244,401,152,39
245,495,239,37
246,372,190,30
247,438,223,55
248,276,123,25
249,446,211,57
250,545,319,57
251,563,200,46
252,500,232,72
253,309,182,8
254,473,196,24
255,372,102,23
256,419,205,11
257,357,285,21
258,420,146,33
259,326,154,21
260,549,274,41
261,606,187,55
262,323,193,41
263,365,187,62
264,272,106,37
265,378,223,33
Total,104423,53512,10452
