,AIADMK+,DMK,Others
0,ADMK,DMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,381,298,41
1,410,216,50
2,286,255,42
3,276,388,28
4,273,247,16
5,310,171,42
6,293,246,12
7,228,197,21
8,264,262,48
9,601,231,57
10,453,387,47
11,501,350,72
12,194,160,25
13,379,351,43
14,551,310,44
15,492,293,62
16,148,200,24
17,393,336,38
18,451,403,25
19,443,339,21
20,455,291,36
21,343,198,27
22,314,232,38
23,391,205,51
24,259,229,38
25,517,397,45
26,410,333,46
27,348,253,40
28,305,207,23
29,254,285,35
30,444,375,50
31,304,276,38
32,369,326,45
33,331,296,52
34,260,240,40
35,520,431,80
36,331,347,71
37,289,286,43
38,255,275,31
39,448,509,37
40,508,229,44
41,297,143,37
42,210,372,19
43,398,212,40
44,240,131,37
45,346,238,35
46,292,190,27
47,482,192,79
48,330,143,22
49,305,146,32
50,426,246,65
51,675,205,33
52,403,268,38
53,422,226,19
54,460,129,52
55,342,111,19
56,657,280,89
57,469,220,52
58,483,277,52
59,686,292,77
60,221,84,30
61,490,318,65
62,228,197,19
63,538,177,52
64,372,168,74
65,394,297,19
66,422,194,25
67,246,166,1
68,235,166,9
69,412,237,20
70,585,367,30
71,440,184,26
72,528,169,38
73,486,182,27
74,486,213,20
75,318,279,12
76,200,195,4
77,201,215,16
78,431,294,20
79,220,212,10
80,216,232,15
81,275,170,4
82,283,168,17
83,327,189,11
84,330,148,26
85,379,259,50
86,224,279,44
87,294,214,9
88,290,189,23
89,399,179,30
90,298,201,9
91,326,233,32
92,328,165,28
93,352,147,46
94,509,279,55
95,400,391,85
96,234,250,28
97,538,185,67
98,331,255,48
99,327,270,63
100,552,345,53
101,479,352,65
102,437,235,36
103,280,122,23
104,556,298,58
105,405,264,81
106,171,121,22
107,520,253,33
108,377,463,90
109,315,313,39
110,626,350,53
111,441,317,24
112,316,280,29
113,290,207,31
114,375,174,44
115,371,274,18
116,287,176,32
117,407,460,21
118,375,268,36
119,503,327,40
120,340,71,23
121,357,386,19
122,312,186,20
123,295,200,35
124,165,151,10
125,670,257,79
126,596,217,79
127,387,276,35
128,321,214,20
129,291,268,20
130,351,243,70
131,390,487,54
132,440,327,32
133,546,362,60
134,535,327,52
135,251,232,25
136,271,280,18
137,436,414,33
138,453,376,42
139,495,347,47
140,557,469,24
141,418,266,34
142,451,543,12
143,350,333,21
144,427,344,27
145,309,327,31
146,430,397,19
147,400,225,19
148,354,210,22
149,292,251,48
150,447,128,24
151,483,257,38
152,425,270,22
153,291,165,35
154,539,398,61
155,444,405,52
156,539,357,40
157,366,217,30
158,453,351,40
159,356,197,18
160,429,152,29
161,308,369,56
162,319,123,22
163,618,424,78
164,488,233,19
165,394,218,62
166,384,277,32
167,291,217,46
168,760,477,71
169,596,301,44
170,678,437,46
171,356,255,21
172,313,257,18
173,639,421,34
174,601,346,29
175,591,478,30
176,390,302,23
177,700,408,35
178,450,531,32
179,704,354,52
180,643,241,49
181,478,342,67
182,514,253,44
183,526,433,28
184,616,442,59
185,353,249,22
186,273,211,42
187,462,225,43
188,560,251,62
189,378,213,13
190,287,170,40
191,513,215,39
192,295,153,23
193,789,195,50
194,564,208,41
195,335,173,33
196,365,295,34
197,335,258,22
198,408,480,45
199,569,342,42
200,395,308,9
201,362,228,32
202,493,393,33
203,389,365,9
204,356,257,32
205,317,251,23
206,402,353,21
207,813,352,31
208,472,379,29
209,538,479,42
210,432,163,21
211,488,339,13
212,520,426,22
213,479,307,11
214,757,384,23
215,518,304,21
216,400,346,18
217,623,349,50
218,422,246,14
219,350,191,34
220,642,353,21
221,388,221,30
222,446,316,22
223,596,348,28
224,465,347,35
225,554,277,21
226,600,429,22
227,479,243,16
228,287,132,14
229,435,303,25
230,309,274,39
231,390,239,39
232,612,216,39
233,192,173,25
234,450,316,45
235,496,373,35
236,277,309,25
237,391,181,35
238,328,317,21
239,489,293,39
240,263,273,27
241,622,295,39
242,525,414,34
243,414,358,21
244,285,187,34
245,356,274,17
246,584,262,26
247,141,153,10
248,403,318,21
249,314,110,16
250,285,193,16
251,375,230,15
252,502,335,28
253,455,182,9
254,306,297,23
255,354,159,11
256,308,145,25
Total,105450,70122,8930
