,AIADMK+,DMK,Others
0,DMDK,,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,475,0,392
1,338,0,441
2,572,0,470
3,351,0,425
4,345,0,608
5,359,0,670
6,400,0,335
7,280,0,254
8,170,0,362
9,157,0,237
10,150,0,240
11,240,0,277
12,270,0,246
13,256,0,300
14,354,0,596
15,279,0,378
16,221,0,422
17,221,0,333
18,135,0,630
19,291,0,608
20,248,0,483
21,225,0,461
22,221,0,297
23,131,0,291
24,251,0,275
25,219,0,226
26,228,0,370
27,148,0,626
28,245,0,415
29,285,0,410
30,282,0,349
31,393,0,521
32,297,0,542
33,340,0,382
34,182,0,434
35,249,0,363
36,146,0,466
37,359,0,568
38,192,0,340
39,261,0,269
40,261,0,376
41,365,0,431
42,354,0,302
43,384,0,352
44,183,0,435
45,269,0,369
46,451,0,440
47,191,0,811
48,253,0,619
49,541,0,466
50,362,0,399
51,438,0,443
52,300,0,233
53,323,0,515
54,451,0,503
55,332,0,350
56,529,0,397
57,244,0,257
58,214,0,280
59,368,0,436
60,468,0,337
61,388,0,291
62,382,0,380
63,424,0,522
64,397,0,346
65,287,0,239
66,226,0,313
67,383,0,197
68,415,0,229
69,237,0,373
70,245,0,348
71,341,0,624
72,190,0,354
73,153,0,373
74,185,0,380
75,433,0,336
76,105,0,767
77,293,0,284
78,195,0,357
79,320,0,291
80,397,0,424
81,200,0,400
82,237,0,315
83,208,0,410
84,402,0,543
85,220,0,463
86,223,0,195
87,157,0,254
88,296,0,380
89,232,0,672
90,264,0,304
91,237,0,593
92,198,0,271
93,144,0,709
94,278,0,358
95,264,0,331
96,265,0,334
97,342,0,439
98,297,0,295
99,382,0,453
100,366,0,473
101,308,0,440
102,359,0,559
103,240,0,222
104,430,0,322
105,504,0,325
106,228,0,358
107,255,0,366
108,133,0,409
109,210,0,398
110,167,0,402
111,279,0,622
112,283,0,492
113,375,0,373
114,223,0,365
115,371,0,499
116,363,0,543
117,361,0,524
118,370,0,489
119,137,0,820
120,489,0,527
121,294,0,644
122,306,0,370
123,297,0,433
124,314,0,473
125,273,0,294
126,481,0,509
127,357,0,690
128,346,0,715
129,327,0,622
130,257,0,289
131,234,0,425
132,180,0,418
133,177,0,410
134,166,0,318
135,148,0,485
136,347,0,471
137,230,0,303
138,240,0,291
139,352,0,437
140,256,0,338
141,243,0,553
142,198,0,326
143,216,0,303
144,225,0,314
145,190,0,325
146,170,0,427
147,259,0,231
148,265,0,318
149,381,0,278
150,432,0,279
151,257,0,449
152,235,0,357
153,205,0,372
154,145,0,396
155,334,0,260
156,363,0,289
157,270,0,362
158,102,0,361
159,217,0,584
160,387,0,383
161,273,0,319
162,92,0,458
163,315,0,557
164,417,0,432
165,297,0,393
166,278,0,603
167,320,0,585
168,455,0,610
169,357,0,494
170,471,0,484
171,475,0,499
172,375,0,442
173,368,0,483
174,158,0,404
175,466,0,562
176,271,0,860
177,150,0,554
178,183,0,400
179,219,0,521
180,167,0,129
181,127,0,172
182,492,0,476
183,610,0,518
184,307,0,559
185,317,0,349
186,310,0,436
187,360,0,269
188,415,0,240
189,351,0,283
190,451,0,300
191,564,0,334
192,430,0,373
193,486,0,418
194,440,0,465
195,437,0,432
196,497,0,428
197,184,0,360
198,161,0,658
199,359,0,725
200,420,0,431
201,391,0,353
202,374,0,292
203,421,0,437
204,410,0,518
205,330,0,325
206,323,0,398
207,371,0,322
208,263,0,532
209,342,0,511
210,161,0,310
211,234,0,366
212,252,0,280
213,300,0,485
214,256,0,240
215,364,0,410
216,406,0,540
217,234,0,309
218,184,0,307
219,201,0,834
220,255,0,589
221,233,0,768
222,304,0,603
223,250,0,537
224,217,0,429
225,181,0,415
226,234,0,343
227,315,0,417
228,148,0,446
229,230,0,520
Total,68025,0,96691
