,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,,"['BJP', 'IJK']",,,"['AIADMK', 'DMK', 'BSP', 'BJP', 'IJK', 'IND']"
0,386,458,0,7,0,0,21
1,299,475,0,1,0,0,31
2,481,346,0,1,0,0,36
3,369,448,0,8,0,0,30
4,271,285,0,2,0,0,15
5,230,263,0,7,0,0,5
6,267,296,0,27,0,0,12
7,330,227,0,39,0,0,10
8,438,470,0,1,0,0,25
9,406,248,0,1,0,0,16
10,255,194,0,1,0,0,9
11,264,228,0,16,0,0,11
12,276,357,0,12,0,0,19
13,541,402,0,4,0,0,25
14,332,315,0,3,0,0,36
15,543,415,0,3,0,0,23
16,532,509,0,3,0,0,45
17,127,133,0,3,0,0,22
18,420,371,0,3,0,0,35
19,602,459,0,4,0,0,30
20,455,482,0,2,0,0,18
21,271,298,0,4,0,0,14
22,482,366,0,5,0,0,18
23,422,289,0,6,0,0,32
24,340,234,0,5,0,0,27
25,485,286,0,6,0,0,20
26,342,241,0,5,0,0,9
27,508,199,0,5,0,0,28
28,551,471,0,1,0,0,31
29,317,216,0,3,0,0,19
30,633,450,0,1,0,0,32
31,485,369,0,6,0,0,28
32,263,243,0,4,0,0,31
33,386,214,0,1,0,0,10
34,455,186,0,1,0,0,22
35,437,152,0,3,0,0,17
36,639,130,0,3,0,0,25
37,326,208,0,3,0,0,29
38,399,219,0,4,0,0,11
39,471,359,0,7,0,0,28
40,648,393,0,4,0,0,26
41,579,289,0,4,0,0,30
42,637,343,0,0,0,0,35
43,507,417,0,3,0,0,17
44,323,208,0,2,0,0,19
45,657,378,0,3,0,0,28
46,458,196,0,3,0,0,15
47,420,154,0,2,0,0,35
48,490,357,0,5,0,0,19
49,448,199,0,1,0,0,15
50,475,325,0,6,0,0,33
51,592,283,0,6,0,0,18
52,332,166,0,1,0,0,7
53,635,381,0,0,0,0,25
54,439,247,0,0,0,0,12
55,702,384,0,3,0,0,21
56,341,222,0,1,0,0,6
57,332,213,0,0,0,0,8
58,485,423,0,5,0,0,6
59,469,234,0,2,0,0,24
60,390,167,0,0,0,0,18
61,295,255,0,5,0,0,5
62,313,224,0,5,0,0,13
63,507,378,0,2,0,0,24
64,446,163,0,3,0,0,38
65,372,191,0,0,0,0,11
66,371,176,0,2,0,0,19
67,276,231,0,2,0,0,20
68,323,133,0,2,0,0,17
69,398,170,0,3,0,0,8
70,540,391,0,1,0,0,41
71,560,284,0,2,0,0,22
72,655,375,0,3,0,0,22
73,372,149,0,4,0,0,14
74,581,172,0,0,0,0,18
75,622,229,0,9,0,0,16
76,425,253,0,1,0,0,19
77,498,568,0,4,0,0,24
78,412,228,0,6,0,0,8
79,449,159,0,2,0,0,12
80,462,222,0,2,0,0,15
81,332,187,0,2,0,0,7
82,415,235,0,6,0,0,18
83,354,153,0,0,0,0,6
84,311,425,0,5,0,0,11
85,717,381,0,4,0,0,27
86,543,274,0,4,0,0,32
87,559,495,0,3,0,0,28
88,304,204,0,3,0,0,23
89,366,279,0,2,0,0,19
90,522,577,0,3,0,0,29
91,430,356,0,9,0,0,10
92,526,446,0,13,0,0,23
93,430,254,0,7,0,0,15
94,390,341,0,5,0,0,14
95,446,702,0,5,0,0,14
96,342,228,0,5,0,0,11
97,540,309,0,2,0,0,17
98,587,481,0,9,0,0,32
99,394,252,0,7,0,0,7
100,389,193,0,5,0,0,12
101,543,371,0,8,0,0,19
102,432,232,0,2,0,0,22
103,556,229,0,3,0,0,35
104,339,210,0,0,0,0,21
105,278,351,0,1,0,0,10
106,403,272,0,2,0,0,30
107,304,277,0,0,0,0,8
108,263,251,0,2,0,0,32
109,331,261,0,2,0,0,15
110,458,357,0,1,0,0,20
111,392,324,0,1,0,0,29
112,274,250,0,4,0,0,5
113,270,268,0,0,0,0,10
114,499,377,0,4,0,0,20
115,412,391,0,1,0,0,23
116,281,257,0,6,0,0,13
117,347,303,0,8,0,0,17
118,396,347,0,1,0,0,16
119,415,331,0,3,0,0,24
120,388,337,0,4,0,0,16
121,306,267,0,4,0,0,42
122,307,209,0,3,0,0,37
123,373,438,0,3,0,0,21
124,284,293,0,3,0,0,16
125,308,353,0,3,0,0,33
126,336,392,0,4,0,0,33
127,292,403,0,2,0,0,16
128,234,520,0,1,0,0,18
129,368,694,0,2,0,0,21
130,210,407,0,5,0,0,24
131,211,425,0,1,0,0,27
132,506,354,0,1,0,0,10
133,697,381,0,3,0,0,16
134,378,197,0,0,0,0,8
135,454,422,0,2,0,0,28
136,440,261,0,1,0,0,21
137,597,367,0,8,0,0,21
138,573,349,0,3,0,0,30
139,510,369,0,10,0,0,19
140,542,363,0,4,0,0,28
141,236,205,0,0,0,0,18
142,357,248,0,4,0,0,8
143,318,267,0,2,0,0,21
144,591,267,0,7,0,0,30
145,438,320,0,13,0,0,28
146,520,253,0,2,0,0,9
147,307,242,0,0,0,0,11
148,390,271,0,0,0,0,8
149,321,187,0,1,0,0,3
150,613,257,0,4,0,0,42
151,524,359,0,3,0,0,30
152,524,311,0,4,0,0,16
153,299,247,0,2,0,0,20
154,365,252,0,4,0,0,36
155,325,273,0,3,0,0,16
156,586,410,0,7,0,0,22
157,628,391,0,5,0,0,18
158,384,237,0,5,0,0,8
159,396,197,0,3,0,0,2
160,600,409,0,2,0,0,22
161,411,212,0,4,0,0,15
162,395,181,0,0,0,0,14
163,271,340,0,4,0,0,29
164,651,413,0,2,0,0,40
165,303,363,0,1,0,0,24
166,461,297,0,5,0,0,13
167,589,431,0,3,0,0,32
168,338,279,0,5,0,0,6
169,330,253,0,5,0,0,15
170,260,279,0,1,0,0,6
171,223,284,0,3,0,0,17
172,263,293,0,8,0,0,5
173,279,268,0,4,0,0,17
174,352,313,0,5,0,0,16
175,330,244,0,1,0,0,9
176,298,313,0,0,0,0,7
177,274,313,0,2,0,0,18
178,501,517,0,10,0,0,33
179,374,373,0,4,0,0,21
180,442,374,0,4,0,0,21
181,425,636,0,6,0,0,10
182,243,245,0,1,0,0,35
183,427,394,0,4,0,0,29
184,373,268,0,6,0,0,12
185,338,204,0,9,0,0,10
186,362,267,0,4,0,0,19
187,332,265,0,6,0,0,11
188,530,503,0,6,0,0,25
189,633,444,0,3,0,0,20
190,454,508,0,1,0,0,22
191,449,448,0,2,0,0,25
192,286,374,0,1,0,0,14
193,366,303,0,3,0,0,31
194,460,433,0,3,0,0,27
195,497,386,0,1,0,0,22
196,369,313,0,3,0,0,17
197,363,400,0,3,0,0,8
198,535,425,0,4,0,0,27
199,559,405,0,2,0,0,20
200,595,435,0,3,0,0,40
201,561,408,0,3,0,0,29
202,417,316,0,3,0,0,17
203,359,246,0,1,0,0,26
204,569,379,0,6,0,0,42
205,554,282,0,5,0,0,19
206,775,265,0,6,0,0,42
207,369,230,0,6,0,0,19
208,380,212,0,1,0,0,11
209,334,202,0,6,0,0,13
210,338,224,0,3,0,0,31
211,418,274,0,5,0,0,27
212,391,193,0,0,0,0,21
213,548,432,0,4,0,0,34
214,407,265,0,1,0,0,16
215,406,419,0,3,0,0,14
216,276,329,0,1,0,0,12
217,704,297,0,1,0,0,40
218,651,392,0,6,0,0,34
219,558,466,0,3,0,0,30
220,722,411,0,5,0,0,38
221,601,343,0,3,0,0,51
