,AIADMK+,DMK,Others
0,ADMK,,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,6,0,96
1,301,0,209
2,295,0,216
3,237,0,327
4,206,0,475
5,266,0,187
6,404,0,355
7,310,0,208
8,255,0,245
9,578,0,501
10,306,0,263
11,344,0,273
12,452,0,559
13,557,0,564
14,490,0,642
15,609,0,516
16,591,0,613
17,519,0,512
18,299,0,271
19,412,0,447
20,272,0,351
21,308,0,206
22,581,0,422
23,224,0,428
24,257,0,366
25,517,0,444
26,400,0,502
27,333,0,485
28,352,0,413
29,361,0,475
30,261,0,364
31,277,0,335
32,403,0,393
33,79,0,274
34,377,0,419
35,276,0,188
36,409,0,230
37,288,0,207
38,367,0,651
39,167,0,183
40,332,0,389
41,328,0,416
42,392,0,471
43,252,0,392
44,252,0,300
45,283,0,299
46,313,0,335
47,290,0,451
48,275,0,290
49,362,0,537
50,274,0,293
51,303,0,279
52,295,0,286
53,247,0,267
54,317,0,283
55,272,0,250
56,332,0,365
57,265,0,420
58,367,0,406
59,218,0,335
60,270,0,270
61,278,0,371
62,83,0,311
63,212,0,262
64,185,0,550
65,331,0,546
66,211,0,285
67,235,0,298
68,172,0,205
69,397,0,434
70,357,0,410
71,217,0,296
72,427,0,362
73,361,0,370
74,398,0,463
75,339,0,243
76,471,0,446
77,296,0,191
78,346,0,550
79,410,0,422
80,263,0,374
81,168,0,218
82,233,0,317
83,248,0,232
84,329,0,222
85,107,0,243
86,258,0,314
87,219,0,281
88,255,0,473
89,222,0,214
90,227,0,258
91,167,0,390
92,28,0,222
93,48,0,89
94,406,0,545
95,188,0,322
96,258,0,419
97,177,0,313
98,291,0,451
99,127,0,341
100,309,0,617
101,281,0,711
102,402,0,382
103,224,0,292
104,343,0,312
105,452,0,351
106,290,0,370
107,281,0,292
108,331,0,192
109,367,0,276
110,334,0,264
111,280,0,349
112,194,0,186
113,262,0,422
114,202,0,207
115,418,0,382
116,349,0,342
117,414,0,417
118,308,0,647
119,264,0,296
120,290,0,276
121,391,0,423
122,398,0,443
123,220,0,475
124,541,0,486
125,378,0,374
126,480,0,346
127,159,0,218
128,427,0,526
129,125,0,204
130,385,0,392
131,399,0,448
132,326,0,383
133,267,0,233
134,494,0,413
135,170,0,296
136,483,0,480
137,358,0,275
138,255,0,293
139,176,0,285
140,298,0,352
141,238,0,379
142,182,0,243
143,404,0,562
144,246,0,302
145,377,0,424
146,490,0,502
147,244,0,255
148,213,0,249
149,295,0,330
150,230,0,195
151,372,0,316
152,311,0,242
153,427,0,545
154,383,0,306
155,484,0,390
156,412,0,381
157,183,0,177
158,305,0,326
159,168,0,286
160,292,0,438
161,122,0,232
162,373,0,337
163,316,0,432
164,219,0,167
165,250,0,244
166,137,0,284
167,447,0,452
168,329,0,265
169,285,0,262
170,279,0,329
171,301,0,199
172,242,0,203
173,261,0,619
174,213,0,197
175,288,0,267
176,82,0,277
177,95,0,252
178,250,0,337
179,128,0,229
180,358,0,405
181,125,0,148
182,190,0,398
183,244,0,227
184,278,0,367
185,405,0,520
186,232,0,230
187,229,0,332
188,144,0,273
189,405,0,457
190,368,0,257
191,397,0,232
192,229,0,422
193,358,0,236
194,367,0,393
195,467,0,421
196,394,0,382
197,401,0,349
198,229,0,125
199,423,0,588
200,450,0,367
201,308,0,323
202,261,0,497
203,346,0,322
204,286,0,305
205,118,0,165
206,423,0,442
207,170,0,313
208,113,0,194
209,313,0,279
210,493,0,427
211,381,0,241
212,274,0,316
213,230,0,248
214,277,0,287
215,340,0,269
216,293,0,192
217,346,0,306
218,300,0,291
219,528,0,418
220,408,0,333
221,241,0,185
222,281,0,231
223,254,0,256
224,258,0,586
225,467,0,241
226,274,0,284
227,335,0,264
228,292,0,194
229,302,0,161
230,253,0,179
231,374,0,520
232,520,0,372
233,489,0,347
234,408,0,408
235,404,0,336
236,494,0,508
237,395,0,450
238,346,0,288
239,450,0,265
240,242,0,362
241,263,0,302
242,77,0,268
243,489,0,492
244,326,0,357
245,395,0,470
246,274,0,265
247,276,0,304
248,263,0,214
249,226,0,261
250,293,0,200
251,206,0,258
252,373,0,333
253,245,0,221
Total,78014,0,86441
