,AIADMK+,DMK,Others
0,ADMK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,471,226,29
1,394,216,25
2,418,288,15
3,403,270,15
4,431,380,21
5,340,231,13
6,318,210,19
7,336,164,23
8,531,268,26
9,352,227,18
10,372,233,32
11,427,193,26
12,418,252,25
13,360,219,21
14,394,250,20
15,287,200,16
16,284,168,24
17,317,211,30
18,292,167,30
19,435,215,13
20,503,265,25
21,354,215,28
22,315,203,37
23,382,231,38
24,418,225,27
25,391,201,51
26,347,175,22
27,422,272,17
28,572,353,53
29,420,322,44
30,416,254,20
31,439,216,33
32,467,245,31
33,306,180,26
34,283,152,20
35,406,229,14
36,518,300,26
37,420,367,19
38,427,271,18
39,425,366,36
40,306,261,33
41,438,284,6
42,414,314,24
43,470,222,12
44,294,237,5
45,339,225,11
46,367,211,4
47,592,190,9
48,410,180,12
49,439,167,22
50,387,255,33
51,268,333,11
52,401,421,17
53,302,286,12
54,272,291,19
55,260,216,12
56,255,200,28
57,559,272,31
58,442,262,28
59,377,350,31
60,609,288,37
61,280,249,8
62,273,206,20
63,346,221,17
64,402,229,17
65,330,280,15
66,285,275,18
67,335,210,18
68,366,224,13
69,314,243,12
70,238,163,6
71,247,148,8
72,490,271,37
73,246,184,15
74,333,244,10
75,450,248,22
76,263,142,4
77,273,133,12
78,475,280,23
79,468,292,37
80,624,197,23
81,319,201,13
82,311,154,17
83,450,299,25
84,527,345,42
85,423,278,24
86,400,276,19
87,370,259,34
88,463,288,30
89,569,442,31
90,295,229,16
91,475,246,20
92,336,284,17
93,423,315,15
94,306,103,6
95,335,115,21
96,444,194,16
97,685,207,33
98,522,249,24
99,528,262,23
100,483,269,27
101,296,163,14
102,272,158,16
103,571,352,29
104,379,234,34
105,332,222,13
106,482,184,13
107,290,183,12
108,468,221,24
109,362,141,21
110,258,246,10
111,469,291,16
112,435,286,37
113,288,217,18
114,461,260,27
115,398,191,15
116,407,243,10
117,358,231,29
118,360,323,21
119,384,231,18
120,417,282,22
121,598,329,31
122,358,359,23
123,361,255,11
124,325,190,18
125,479,351,24
126,326,160,14
127,377,161,36
128,488,295,23
129,374,205,3
130,347,229,27
131,365,201,27
132,475,183,23
133,439,416,17
134,406,497,53
135,499,387,15
136,450,482,47
137,409,375,32
138,448,358,17
139,454,390,17
140,405,206,8
141,435,198,39
142,421,411,11
143,341,369,43
144,487,417,13
145,440,477,39
146,425,261,11
147,478,327,29
148,476,347,37
149,364,333,19
150,386,266,18
151,294,363,16
152,387,328,9
153,293,490,41
154,394,408,47
155,337,388,31
156,462,431,39
157,319,235,7
158,311,251,11
159,358,342,13
160,514,413,19
161,269,525,12
162,186,174,16
163,240,129,7
164,276,167,11
165,333,326,19
Total,65010,43613,3633
