,AIADMK+,DMK,Others
0,DMDK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,341,424,105
1,348,182,117
2,608,186,108
3,398,154,94
4,202,116,44
5,322,210,58
6,423,267,103
7,304,234,64
8,487,324,133
9,366,101,53
10,356,122,59
11,472,192,93
12,198,329,52
13,401,131,64
14,296,177,36
15,437,248,68
16,197,211,43
17,174,199,31
18,220,193,49
19,181,131,43
20,375,252,71
21,167,183,38
22,334,296,73
23,392,265,85
24,305,155,136
25,325,59,80
26,467,201,218
27,489,346,107
28,414,168,126
29,454,303,132
30,445,212,64
31,201,154,37
32,498,200,83
33,412,217,89
34,358,228,89
35,450,280,106
36,318,167,83
37,591,285,101
38,209,179,46
39,279,241,45
40,397,357,65
41,449,282,60
42,134,60,14
43,430,273,69
44,305,125,49
45,325,287,44
46,436,196,61
47,266,210,62
48,470,205,74
49,267,234,84
50,262,145,45
51,366,261,98
52,443,254,78
53,298,188,48
54,266,172,36
55,423,273,80
56,211,113,27
57,384,256,68
58,408,132,82
59,262,82,58
60,467,198,76
61,470,128,61
62,405,152,67
63,331,125,52
64,274,184,59
65,413,262,63
66,429,279,74
67,219,141,40
68,338,236,55
69,457,251,60
70,240,123,27
71,256,133,50
72,446,174,41
73,347,306,63
74,181,218,33
75,406,262,61
76,191,313,42
77,265,244,46
78,457,269,94
79,342,326,59
80,185,143,38
81,553,269,109
82,623,351,145
83,437,279,107
84,621,248,113
85,507,271,101
86,438,149,76
87,450,192,75
88,577,280,118
89,219,89,36
90,606,302,131
91,420,210,102
92,318,213,72
93,436,206,83
94,571,368,122
95,364,256,64
96,450,314,70
97,301,243,46
98,575,284,77
99,258,181,23
100,441,292,70
101,408,169,46
102,300,170,38
103,427,234,49
104,440,169,44
105,406,148,64
106,424,218,99
107,719,164,148
108,668,139,122
109,361,98,97
110,575,114,144
111,406,154,97
112,552,304,116
113,433,354,141
114,416,459,106
115,478,219,137
116,469,278,83
117,230,129,40
118,253,142,48
119,509,199,94
120,381,318,95
121,407,87,73
122,660,136,107
123,282,121,68
124,393,132,78
125,700,288,124
126,519,241,105
127,101,84,16
128,391,160,55
129,340,182,49
130,144,77,47
131,524,293,69
132,183,105,42
133,120,125,21
134,616,258,107
135,451,188,98
136,503,140,119
137,229,122,98
138,542,179,135
139,360,145,75
140,774,192,166
141,620,143,96
142,703,202,173
143,467,160,106
144,494,165,130
145,464,155,111
146,400,170,69
147,381,168,82
148,343,113,77
149,396,182,80
150,373,175,91
151,348,177,77
152,377,153,95
153,334,478,150
154,435,191,105
155,302,359,71
156,479,170,83
157,664,202,158
158,200,190,70
159,649,295,162
160,505,87,193
161,440,157,186
162,503,89,134
163,533,145,165
164,713,168,128
165,404,175,63
166,452,182,70
167,346,194,66
168,490,118,72
169,665,184,89
170,587,271,97
171,489,153,105
172,308,168,105
173,317,140,58
174,644,152,90
175,466,201,96
176,327,76,62
177,460,154,115
178,555,171,87
179,549,140,116
180,520,172,99
181,479,169,111
182,343,257,121
183,262,97,59
184,288,81,96
185,229,91,33
186,370,108,100
187,499,127,134
188,458,190,119
189,455,274,97
190,485,239,88
191,294,160,66
192,462,335,141
193,502,250,116
194,313,177,36
195,437,202,76
196,511,194,56
197,130,68,26
198,421,289,148
199,107,169,49
200,546,191,80
201,247,123,34
202,399,251,52
203,283,222,43
204,237,228,88
205,236,181,46
206,455,208,75
207,523,294,97
208,357,114,60
209,573,146,100
210,366,160,58
211,333,105,67
212,462,117,62
213,387,124,69
214,209,212,73
215,345,354,70
216,144,113,40
217,229,58,66
218,462,139,91
219,333,171,105
220,661,193,112
221,591,133,129
222,306,86,62
223,346,98,70
224,533,253,144
225,627,201,117
226,460,126,93
227,461,135,190
228,459,125,141
229,385,249,138
230,481,100,158
231,279,146,78
232,425,92,135
233,528,134,139
234,473,161,113
235,422,388,132
236,416,390,140
237,286,166,76
Total,95406,46834,20186
