,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,,BJP,,,"['BSP', 'BJP', 'AIADMK', 'DMK', 'UMK', 'IND']"
0,263,344,0,7,0,0,74
1,233,290,0,10,0,0,125
2,305,215,0,14,0,0,44
3,248,247,0,11,0,0,112
4,67,153,0,1,0,0,37
5,170,288,0,5,0,0,42
6,116,194,0,3,0,0,127
7,180,283,0,2,0,0,52
8,123,175,0,14,0,0,145
9,407,333,0,12,0,0,82
10,265,446,0,12,0,0,172
11,164,296,0,7,0,0,150
12,232,330,0,6,0,0,119
13,268,176,0,2,0,0,30
14,406,183,0,8,0,0,51
15,412,193,0,3,0,0,81
16,229,155,0,3,0,0,115
17,283,208,0,5,0,0,85
18,284,143,0,3,0,0,39
19,265,123,0,8,0,0,75
20,376,321,0,15,0,0,35
21,460,289,0,11,0,0,68
22,325,316,0,7,0,0,98
23,464,354,0,9,0,0,97
24,245,166,0,7,0,0,67
25,256,263,0,8,0,0,34
26,238,142,0,0,0,0,36
27,367,312,0,3,0,0,51
28,310,292,0,6,0,0,64
29,143,156,0,2,0,0,74
30,285,279,0,9,0,0,43
31,419,208,0,11,0,0,28
32,210,233,0,2,0,0,28
33,295,318,0,5,0,0,55
34,284,190,0,9,0,0,67
35,338,235,0,4,0,0,39
36,279,184,0,5,0,0,22
37,381,249,0,13,0,0,23
38,283,227,0,12,0,0,14
39,310,143,0,4,0,0,25
40,236,102,0,4,0,0,46
41,392,210,0,8,0,0,32
42,418,224,0,7,0,0,34
43,359,257,0,8,0,0,32
44,281,303,0,6,0,0,34
45,261,135,0,14,0,0,30
46,323,164,0,13,0,0,16
47,247,161,0,5,0,0,33
48,517,294,0,16,0,0,40
49,314,278,0,7,0,0,51
50,271,169,0,10,0,0,23
51,304,258,0,4,0,0,36
52,337,189,0,14,0,0,21
53,329,179,0,6,0,0,7
54,257,183,0,2,0,0,28
55,379,314,0,22,0,0,41
56,364,125,0,10,0,0,23
57,262,160,0,9,0,0,21
58,361,259,0,9,0,0,38
59,174,141,0,9,0,0,11
60,326,249,0,20,0,0,20
61,344,183,0,11,0,0,20
62,281,144,0,5,0,0,25
63,316,324,0,20,0,0,33
64,231,189,0,7,0,0,31
65,443,243,0,12,0,0,20
66,188,93,0,4,0,0,14
67,267,309,0,11,0,0,38
68,409,279,0,22,0,0,19
69,406,355,0,17,0,0,56
70,246,220,0,19,0,0,31
71,422,223,0,25,0,0,30
72,302,251,0,8,0,0,16
73,286,181,0,4,0,0,15
74,411,302,0,26,0,0,16
75,349,272,0,15,0,0,15
76,299,247,0,15,0,0,5
77,298,179,0,11,0,0,5
78,273,183,0,10,0,0,11
79,344,238,0,9,0,0,19
80,345,248,0,13,0,0,17
81,247,207,0,7,0,0,8
82,247,166,0,8,0,0,11
83,571,439,0,11,0,0,30
84,233,153,0,4,0,0,2
85,200,150,0,2,0,0,13
86,501,252,0,9,0,0,23
87,590,452,0,20,0,0,24
88,416,229,0,10,0,0,14
89,642,343,0,7,0,0,20
90,534,257,0,10,0,0,25
91,335,201,0,5,0,0,14
92,538,432,0,8,0,0,38
93,535,300,0,10,0,0,68
94,287,203,0,6,0,0,23
95,399,180,0,8,0,0,45
96,353,190,0,3,0,0,47
97,338,306,0,17,0,0,44
98,474,216,0,5,0,0,63
99,314,260,0,3,0,0,36
100,456,235,0,14,0,0,67
101,321,229,0,6,0,0,26
