,AIADMK+,DMK,Others
0,ADMK,INC,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,316,275,38
1,435,276,57
2,372,351,65
3,263,193,56
4,359,201,34
5,313,185,33
6,355,188,37
7,346,228,40
8,381,270,23
9,499,323,100
10,306,386,63
11,340,222,22
12,188,258,22
13,486,322,72
14,297,206,16
15,273,305,25
16,284,215,52
17,178,322,36
18,275,273,55
19,331,233,29
20,374,222,19
21,432,244,29
22,525,322,66
23,492,372,31
24,325,168,27
25,454,241,33
26,197,135,35
27,566,367,73
28,620,309,105
29,65,61,27
30,72,66,27
31,180,116,128
32,162,189,151
33,373,94,146
34,234,27,70
35,274,135,67
36,431,208,147
37,298,11,61
38,295,114,97
39,585,175,131
40,554,169,85
41,343,259,47
42,436,363,55
43,462,125,87
44,545,156,128
45,486,173,114
46,284,109,62
47,238,49,36
48,334,140,98
49,324,171,61
50,241,385,49
51,493,478,65
52,620,252,59
53,352,348,66
54,514,255,84
55,545,288,51
56,449,291,49
57,284,173,19
58,649,239,56
59,586,309,63
60,600,222,69
61,484,185,44
62,608,369,65
63,294,270,41
64,342,180,49
65,452,87,35
66,374,155,48
67,401,204,56
68,543,333,71
69,393,212,32
70,622,164,55
71,341,225,38
72,416,265,55
73,282,220,40
74,477,106,30
75,294,144,26
76,502,204,55
77,340,153,26
78,297,182,50
79,275,194,32
80,437,226,58
81,335,118,14
82,383,328,60
83,388,290,47
84,433,264,55
85,398,371,67
86,521,406,41
87,343,244,42
88,374,262,26
89,555,246,50
90,494,236,56
91,669,324,30
92,581,326,48
93,646,251,37
94,374,319,28
95,594,248,18
96,391,370,71
97,484,431,67
98,659,352,82
99,461,296,103
100,430,312,49
101,336,302,46
102,303,188,45
103,355,352,50
104,321,369,56
105,418,185,40
106,524,176,27
107,331,226,39
108,536,407,42
109,319,233,26
110,300,200,28
111,473,326,33
112,605,319,54
113,197,235,11
114,325,212,83
115,235,372,19
116,367,263,30
117,624,154,30
118,493,490,55
119,256,284,17
120,259,256,37
121,645,319,48
122,563,417,78
123,339,211,29
124,411,257,39
125,567,188,59
126,475,242,39
127,591,321,78
128,478,351,36
129,380,248,30
130,553,342,49
131,323,146,39
132,378,167,21
133,407,245,39
134,375,182,24
135,500,280,74
136,320,264,23
137,474,196,14
138,228,346,33
139,407,432,64
140,362,299,23
141,595,313,48
142,644,275,49
143,524,262,46
144,462,199,24
145,581,143,40
146,555,211,38
147,252,277,47
148,499,223,36
149,399,181,24
150,278,206,22
151,296,214,13
152,535,225,23
153,448,227,24
154,393,172,22
155,420,180,12
156,534,182,44
157,600,233,61
158,565,345,67
159,400,120,13
160,451,213,37
161,487,311,52
162,306,301,14
163,576,304,37
164,540,278,41
165,402,225,32
166,652,296,48
167,565,337,54
168,474,435,44
169,357,408,34
170,263,172,12
171,763,186,47
172,858,216,31
173,416,185,15
174,319,191,28
175,431,333,37
176,667,278,47
177,452,138,34
178,297,216,23
179,410,275,32
180,357,219,30
181,347,148,30
182,455,222,54
183,682,256,82
184,295,224,31
185,469,80,33
186,306,101,32
187,554,292,108
188,682,312,77
189,440,221,41
190,587,203,37
191,548,257,26
192,293,213,44
193,295,206,50
194,530,204,77
195,305,147,22
196,590,309,62
197,544,271,28
198,201,242,33
199,464,371,34
200,340,251,34
201,235,205,38
202,522,411,83
203,337,188,48
204,367,187,26
205,414,364,72
206,447,311,59
207,627,357,81
208,335,253,33
209,216,296,32
210,355,225,29
211,431,271,28
212,249,122,32
213,475,206,44
214,405,184,40
215,383,290,41
216,529,193,40
217,449,223,59
Total,91656,53357,10354
