,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,,,BJP,PMK,,"['ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM', 'BHARATIYA JANATA PARTY', 'PATTALI MAKKAL KATCHI', 'INDIYA JANANAYAKA KATCHI', 'INDEPENDENT']"
0,395,0,0,5,126,0,62
1,298,0,0,13,144,0,51
2,256,0,0,13,326,0,38
3,316,0,0,7,203,0,42
4,281,0,0,12,138,0,88
5,271,0,0,8,75,0,67
6,215,0,0,3,183,0,68
7,230,0,0,7,164,0,72
8,334,0,0,6,195,0,81
9,350,0,0,9,137,0,144
10,387,0,0,10,347,0,172
11,263,0,0,7,125,0,282
12,315,0,0,7,152,0,105
13,286,0,0,4,248,0,59
14,316,0,0,9,144,0,48
15,435,0,0,13,291,0,139
16,548,0,0,11,293,0,102
17,246,0,0,9,117,0,219
18,205,0,0,4,199,0,29
19,277,0,0,12,352,0,43
20,214,0,0,9,279,0,33
21,200,0,0,3,141,0,165
22,205,0,0,6,118,0,186
23,265,0,0,3,108,0,39
24,263,0,0,7,92,0,52
25,269,0,0,2,164,0,60
26,247,0,0,4,135,0,67
27,616,0,0,10,189,0,174
28,293,0,0,7,78,0,70
29,531,0,0,8,250,0,135
30,319,0,0,6,173,0,245
31,303,0,0,5,78,0,51
32,212,0,0,8,137,0,247
33,358,0,0,10,177,0,56
34,323,0,0,7,337,0,50
35,165,0,0,5,127,0,26
36,293,0,0,10,127,0,23
37,387,0,0,6,123,0,43
38,393,0,0,7,103,0,27
39,316,0,0,18,301,0,233
40,154,0,0,1,122,0,125
41,243,0,0,12,179,0,65
42,348,0,0,4,223,0,77
43,156,0,0,3,88,0,27
44,379,0,0,13,267,0,84
45,510,0,0,10,346,0,50
46,515,0,0,15,270,0,116
47,620,0,0,14,321,0,72
48,595,0,0,14,307,0,47
49,213,0,0,1,75,0,8
50,341,0,0,16,312,0,257
51,307,0,0,6,199,0,20
52,312,0,0,18,187,0,24
53,206,0,0,6,332,0,18
54,686,0,0,16,232,0,48
55,307,0,0,12,487,0,26
56,116,0,0,1,283,0,14
57,269,0,0,11,495,0,22
58,168,0,0,6,355,0,25
59,184,0,0,4,368,0,27
60,502,0,0,9,324,0,46
61,492,0,0,16,225,0,58
62,521,0,0,6,170,0,37
