,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,ADMK,DMK,,BJP,,,"['DRAVIDA MUNNETRA KAZHAGAM', 'ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM', 'BAHUJAN SAMAJ PARTY', 'BHARATIYA JANATA PARTY', 'INDEPENDENT']"
0,305,187,0,0,0,0,5
1,252,290,0,2,0,0,9
2,270,249,0,2,0,0,11
3,203,349,0,1,0,0,11
4,257,265,0,2,0,0,9
5,444,358,0,3,0,0,40
6,181,254,0,0,0,0,11
7,273,168,0,4,0,0,14
8,528,428,0,3,0,0,26
9,289,365,0,4,0,0,18
10,265,269,0,7,0,0,27
11,294,203,0,2,0,0,29
12,246,308,0,0,0,0,14
13,266,172,0,3,0,0,27
14,306,228,0,3,0,0,16
15,295,251,0,2,0,0,27
16,572,254,0,3,0,0,25
17,374,270,0,4,0,0,17
18,474,271,0,7,0,0,31
19,345,382,0,1,0,0,23
20,481,189,0,1,0,0,9
21,279,224,0,3,0,0,13
22,238,283,0,1,0,0,17
23,316,295,0,4,0,0,18
24,532,364,0,4,0,0,32
25,423,470,0,3,0,0,32
26,358,292,0,9,0,0,26
27,243,128,0,3,0,0,15
28,285,257,0,6,0,0,24
29,564,368,0,5,0,0,22
30,382,339,0,3,0,0,15
31,229,451,0,1,0,0,23
32,312,220,0,0,0,0,5
33,377,376,0,12,0,0,11
34,252,220,0,8,0,0,11
35,303,292,0,8,0,0,35
36,426,219,0,6,0,0,21
37,373,235,0,16,0,0,23
38,458,292,0,4,0,0,28
39,202,342,0,5,0,0,13
40,475,308,0,2,0,0,15
41,444,245,0,7,0,0,16
42,246,313,0,2,0,0,14
43,466,338,0,3,0,0,11
44,433,270,0,1,0,0,18
45,426,189,0,0,0,0,12
46,617,342,0,8,0,0,13
47,168,295,0,1,0,0,3
48,208,304,0,0,0,0,23
49,280,196,0,2,0,0,20
50,504,247,0,9,0,0,20
51,444,356,0,6,0,0,26
52,579,369,0,1,0,0,38
53,273,308,0,2,0,0,19
54,209,350,0,1,0,0,12
55,207,295,0,1,0,0,18
56,406,381,0,2,0,0,37
57,296,348,0,9,0,0,35
58,448,460,0,8,0,0,67
59,278,191,0,0,0,0,9
60,593,348,0,2,0,0,30
61,300,211,0,5,0,0,21
62,181,141,0,2,0,0,11
63,262,284,0,6,0,0,9
64,403,292,0,3,0,0,15
65,379,374,0,4,0,0,11
66,456,299,0,0,0,0,28
67,402,451,0,2,0,0,23
68,235,237,0,3,0,0,10
69,263,350,0,3,0,0,8
70,314,300,0,5,0,0,49
71,115,193,0,1,0,0,6
72,396,276,0,9,0,0,20
73,425,367,0,3,0,0,44
74,191,199,0,7,0,0,10
75,323,409,0,4,0,0,14
76,298,251,0,1,0,0,10
