,AIADMK+,DMK,Others
0,ADMK,DMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,678,409,46
1,282,244,29
2,293,270,22
3,389,456,20
4,277,269,32
5,384,245,37
6,389,164,22
7,584,310,32
8,237,321,9
9,590,371,41
10,458,452,26
11,401,465,32
12,314,292,31
13,375,552,33
14,604,457,37
15,255,291,13
16,345,488,48
17,503,409,19
18,620,507,64
19,370,474,20
20,223,257,11
21,254,374,19
22,557,408,20
23,519,414,34
24,413,595,66
25,408,687,35
26,384,504,31
27,473,602,29
28,542,529,29
29,532,560,26
30,449,419,25
31,359,619,39
32,448,510,36
33,407,545,35
34,404,489,20
35,459,454,39
36,322,381,28
37,463,442,30
38,581,593,39
39,283,361,29
40,361,329,25
41,301,252,25
42,366,212,34
43,436,286,33
44,293,396,24
45,289,302,15
46,215,226,11
47,314,275,27
48,635,445,44
49,327,445,25
50,461,484,24
51,336,387,17
52,649,425,33
53,621,513,29
54,546,313,28
55,448,328,30
56,546,328,22
57,309,295,23
58,497,262,26
59,420,293,33
60,325,250,19
61,490,461,81
62,266,301,30
63,333,369,23
64,659,445,54
65,367,254,44
66,660,481,62
67,580,162,33
68,482,145,21
69,355,278,12
70,358,257,18
71,612,429,55
72,476,355,37
73,396,196,30
74,493,484,57
75,282,200,27
76,488,258,68
77,365,233,30
78,620,392,41
79,366,200,26
80,371,189,36
81,468,461,79
82,312,339,31
83,280,347,32
84,540,169,28
85,415,209,23
86,480,276,68
87,379,269,38
88,279,187,20
89,393,278,39
90,465,345,72
91,563,380,63
92,315,313,16
93,373,352,40
94,323,266,50
95,307,240,65
96,444,294,57
97,590,228,96
98,522,389,60
99,257,202,92
100,369,218,77
101,497,303,92
102,270,174,49
103,384,222,20
104,411,153,36
105,560,333,47
106,590,409,53
107,588,382,48
108,476,225,63
109,332,236,36
110,307,292,40
111,613,336,44
112,469,309,20
113,605,301,38
114,488,268,37
115,441,251,29
116,481,197,25
117,630,394,28
118,344,243,23
119,358,236,20
120,374,163,15
121,449,169,24
122,415,240,58
123,343,276,15
124,682,323,27
125,822,264,49
126,562,251,30
127,615,171,9
128,501,272,50
129,306,201,16
130,270,214,33
131,402,436,94
132,545,366,42
133,348,273,33
134,624,189,20
135,292,258,42
136,181,175,21
137,440,390,87
138,726,241,56
139,406,286,35
140,523,297,47
141,490,320,36
142,488,476,67
143,682,286,58
144,565,438,51
145,205,197,24
146,363,160,42
147,425,193,36
148,367,220,10
149,427,173,14
150,571,467,28
151,526,495,31
152,577,358,20
153,491,438,45
154,397,376,20
155,382,307,26
156,228,233,10
157,174,191,20
158,406,344,32
159,303,352,21
160,412,401,30
161,573,322,68
162,427,253,47
163,581,335,48
164,479,281,40
165,452,480,24
166,330,284,19
167,300,259,16
168,648,427,54
169,545,413,39
170,379,346,25
171,645,354,27
172,298,318,23
173,209,464,26
174,309,309,27
175,341,288,24
176,294,230,18
177,615,249,33
178,546,147,26
179,458,224,39
180,400,174,18
181,361,265,67
182,416,274,54
183,410,280,45
184,428,193,22
185,494,340,70
186,573,341,35
187,730,324,49
188,837,263,34
189,549,424,50
190,264,162,18
191,344,266,84
192,317,240,22
193,603,361,26
194,611,447,54
195,359,238,42
196,555,369,42
197,491,211,27
198,430,281,46
Total,87366,64666,7211
